Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168664,08/11/2025,Fylde,Alfreton,Ryan Colclough,right-foot,regular,save,0.009122,0.05091
14168590,11/10/2025,Fylde,Worksop,Ryan Colclough,right-foot,regular,goal,0.04026,0.2068
14168632,25/10/2025,Fylde,Hereford,Ryan Colclough,left-foot,regular,block,0.02458,0.0
14168649,05/11/2025,Fylde,South Shields,Ryan Colclough,left-foot,regular,miss,0.01362,0.0
14168604,18/10/2025,Fylde,King's Lynn,Ryan Colclough,left-foot,set-piece,miss,0.05937,0.0
14168604,18/10/2025,Fylde,King's Lynn,Ryan Colclough,right-foot,regular,goal,0.4638,0.4899
14168604,18/10/2025,Fylde,King's Lynn,Ryan Colclough,right-foot,regular,miss,0.1146,0.0
14168604,18/10/2025,Fylde,King's Lynn,Ryan Colclough,right-foot,corner,block,0.005125,0.0
14168762,30/12/2025,Fylde,Radcliffe,Ryan Colclough,right-foot,free-kick,miss,0.0005656,0.0
14168624,21/10/2025,Fylde,Spennymoor,Ryan Colclough,left-foot,regular,goal,0.06641,0.3837
14168624,21/10/2025,Fylde,Spennymoor,Ryan Colclough,left-foot,regular,goal,0.02372,0.1125
14168624,21/10/2025,Fylde,Spennymoor,Ryan Colclough,right-foot,regular,block,0.002402,0.0
14168624,21/10/2025,Fylde,Spennymoor,Ryan Colclough,right-foot,regular,save,0.5239,0.5251
14168576,04/10/2025,Fylde,Telford,Ryan Colclough,right-foot,regular,block,0.02052,0.0
14168576,04/10/2025,Fylde,Telford,Ryan Colclough,right-foot,free-kick,block,0.1963,0.0
14168576,04/10/2025,Fylde,Telford,Ryan Colclough,left-foot,regular,block,0.03952,0.0
14168576,04/10/2025,Fylde,Telford,Ryan Colclough,right-foot,regular,save,0.09732,0.1786
