Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168749,30/12/2025,Marine,Chorley,Sam Fielding,right-foot,regular,miss,0.09742,0.0
14168847,10/02/2026,Marine,Curzon Ashton,Sam Fielding,right-foot,free-kick,block,0.03989,0.0
14168847,10/02/2026,Marine,Curzon Ashton,Sam Fielding,right-foot,set-piece,miss,0.09204,0.0
14168884,24/02/2026,Marine,Kidderminster,Sam Fielding,left-foot,regular,block,0.09508,0.0
14168907,07/03/2026,Marine,King's Lynn,Sam Fielding,right-foot,regular,block,0.001214,0.0
14168668,08/11/2025,Marine,Leamington,Sam Fielding,right-foot,regular,miss,0.006587,0.0
14168668,08/11/2025,Marine,Leamington,Sam Fielding,right-foot,free-kick,save,0.03648,0.1331
14837164,11/11/2025,Marine,Telford,Sam Fielding,head,throw-in-set-piece,save,0.04249,0.2205
14837164,11/11/2025,Marine,Telford,Sam Fielding,right-foot,regular,miss,0.004404,0.0
14168680,22/11/2025,Marine,Oxford,Sam Fielding,right-foot,set-piece,miss,0.002925,0.0
14168692,25/11/2025,Marine,Kidderminster,Sam Fielding,right-foot,corner,block,0.07274,0.0
15234057,20/01/2026,Marine,Radcliffe,Sam Fielding,right-foot,throw-in-set-piece,block,0.001766,0.0
15234057,20/01/2026,Marine,Radcliffe,Sam Fielding,right-foot,corner,goal,0.5462,0.749
14168797,24/01/2026,Marine,South Shields,Sam Fielding,right-foot,free-kick,miss,0.0008547,0.0
14168834,07/02/2026,Marine,Scarborough,Sam Fielding,right-foot,regular,miss,0.2527,0.0
14168859,14/02/2026,Marine,Leamington,Sam Fielding,right-foot,regular,block,0.0749,0.0
14168921,10/03/2026,Marine,Macclesfield,Sam Fielding,right-foot,free-kick,miss,0.0005711,0.0
14168921,10/03/2026,Marine,Macclesfield,Sam Fielding,right-foot,throw-in-set-piece,miss,0.003537,0.0
14168937,14/03/2026,Marine,Worksop,Sam Fielding,left-foot,corner,goal,0.3265,0.4764
14168501,19/08/2025,Marine,Merthyr,Sam Fielding,left-foot,corner,block,0.04854,0.0
14168501,19/08/2025,Marine,Merthyr,Sam Fielding,right-foot,regular,save,0.03179,0.07996
14168875,21/02/2026,Marine,Oxford,Sam Fielding,head,set-piece,save,0.1593,0.3517
14168562,06/09/2025,Marine,Radcliffe,Sam Fielding,head,set-piece,save,0.107,0.04783
14168637,25/10/2025,Marine,Scarborough,Sam Fielding,right-foot,regular,block,0.01004,0.0
14168480,09/08/2025,Marine,South Shields,Sam Fielding,right-foot,throw-in-set-piece,save,0.016,0.01887
14168612,18/10/2025,Marine,Worksop,Sam Fielding,left-foot,regular,miss,0.05643,0.0
