Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168879,24/02/2026,Peterborough,Bedford,Sam McLintock,right-foot,throw-in-set-piece,block,0.002766,0.0
14168879,24/02/2026,Peterborough,Bedford,Sam McLintock,right-foot,regular,block,0.1127,0.0
14168821,31/01/2026,Peterborough,Chorley,Sam McLintock,right-foot,regular,miss,0.08662,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Sam McLintock,left-foot,regular,save,0.105,0.08154
14168631,25/10/2025,Peterborough,Curzon Ashton,Sam McLintock,right-foot,regular,miss,0.1719,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Sam McLintock,right-foot,regular,save,0.01351,0.1126
14878242,18/11/2025,Peterborough,Darlington,Sam McLintock,left-foot,regular,block,0.01597,0.0
15322125,03/02/2026,Peterborough,Fylde,Sam McLintock,left-foot,set-piece,block,0.04738,0.0
14168958,28/03/2026,Peterborough,Leamington,Sam McLintock,left-foot,corner,save,0.01622,0.02822
14168665,04/11/2025,Peterborough,Macclesfield,Sam McLintock,right-foot,regular,block,0.1396,0.0
14168665,04/11/2025,Peterborough,Macclesfield,Sam McLintock,right-foot,regular,goal,0.1625,0.509
14168541,30/08/2025,Peterborough,Marine,Sam McLintock,left-foot,regular,miss,0.1235,0.0
14168541,30/08/2025,Peterborough,Marine,Sam McLintock,right-foot,regular,miss,0.09178,0.0
14168789,17/01/2026,Peterborough,Merthyr,Sam McLintock,right-foot,corner,miss,0.104,0.0
14168490,16/08/2025,Peterborough,Merthyr,Sam McLintock,right-foot,corner,miss,0.02771,0.0
14168502,19/08/2025,Peterborough,Leamington,Sam McLintock,right-foot,regular,miss,0.01114,0.0
14168502,19/08/2025,Peterborough,Leamington,Sam McLintock,left-foot,throw-in-set-piece,block,0.01422,0.0
14168585,04/10/2025,Peterborough,Kidderminster,Sam McLintock,left-foot,regular,save,0.09018,0.3638
14168585,04/10/2025,Peterborough,Kidderminster,Sam McLintock,left-foot,regular,block,0.1154,0.0
14168585,04/10/2025,Peterborough,Kidderminster,Sam McLintock,right-foot,regular,save,0.1569,0.04889
14168609,18/10/2025,Peterborough,Alfreton,Sam McLintock,right-foot,regular,block,0.02512,0.0
14168609,18/10/2025,Peterborough,Alfreton,Sam McLintock,right-foot,regular,block,0.02087,0.0
14168609,18/10/2025,Peterborough,Alfreton,Sam McLintock,left-foot,regular,block,0.0889,0.0
14168730,20/12/2025,Peterborough,Scarborough,Sam McLintock,left-foot,regular,miss,0.002585,0.0
14168730,20/12/2025,Peterborough,Scarborough,Sam McLintock,right-foot,regular,block,0.002622,0.0
14168753,30/12/2025,Peterborough,Oxford,Sam McLintock,left-foot,regular,miss,0.05363,0.0
14168753,30/12/2025,Peterborough,Oxford,Sam McLintock,left-foot,regular,save,0.07724,0.08324
14168753,30/12/2025,Peterborough,Oxford,Sam McLintock,right-foot,regular,save,0.08598,0.3298
14168801,24/01/2026,Peterborough,Chester,Sam McLintock,right-foot,set-piece,miss,0.02835,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Sam McLintock,left-foot,regular,block,0.0008903,0.0
14168837,07/02/2026,Peterborough,Curzon Ashton,Sam McLintock,left-foot,throw-in-set-piece,block,0.001224,0.0
14168837,07/02/2026,Peterborough,Curzon Ashton,Sam McLintock,head,regular,save,0.1056,0.1231
14168900,28/02/2026,Peterborough,South Shields,Sam McLintock,left-foot,regular,miss,0.02563,0.0
14168874,21/02/2026,Peterborough,Radcliffe,Sam McLintock,left-foot,regular,miss,0.03462,0.0
14168515,23/08/2025,Peterborough,Scarborough,Sam McLintock,left-foot,regular,save,0.07034,0.06699
14168515,23/08/2025,Peterborough,Scarborough,Sam McLintock,right-foot,throw-in-set-piece,block,0.08944,0.0
15184997,18/12/2025,Peterborough,South Shields,Sam McLintock,left-foot,regular,miss,0.02687,0.0
14168546,02/09/2025,Peterborough,Telford,Sam McLintock,right-foot,regular,miss,0.03176,0.0
14168980,06/04/2026,Peterborough,Oxford,Sam McLintock,right-foot,corner,miss,0.005595,0.0
14168980,06/04/2026,Peterborough,Oxford,Sam McLintock,left-foot,regular,save,0.06192,0.03901
14168982,03/04/2026,Peterborough,King's Lynn,Sam McLintock,right-foot,regular,save,0.07856,0.05019
14168989,11/04/2026,Peterborough,Telford,Sam McLintock,right-foot,throw-in-set-piece,block,0.0007777,0.0
14168989,11/04/2026,Peterborough,Telford,Sam McLintock,left-foot,regular,block,0.01576,0.0
