Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168927,14/03/2026,Alfreton,Peterborough,Sam Osborne,right-foot,free-kick,block,0.001635,0.0
14168687,25/11/2025,Hereford,Chester,Sam Osborne,right-foot,corner,block,0.2225,0.0
14168687,25/11/2025,Hereford,Chester,Sam Osborne,left-foot,corner,block,0.1648,0.0
14168722,20/12/2025,Hereford,Chorley,Sam Osborne,right-foot,regular,block,0.1096,0.0
14168722,20/12/2025,Hereford,Chorley,Sam Osborne,right-foot,corner,block,0.001477,0.0
14168722,20/12/2025,Hereford,Chorley,Sam Osborne,right-foot,throw-in-set-piece,miss,0.05464,0.0
14168722,20/12/2025,Hereford,Chorley,Sam Osborne,right-foot,throw-in-set-piece,block,0.005286,0.0
14168564,06/09/2025,Hereford,Darlington,Sam Osborne,right-foot,regular,miss,0.1596,0.0
14168564,06/09/2025,Hereford,Darlington,Sam Osborne,left-foot,regular,block,0.002815,0.0
14168564,06/09/2025,Hereford,Darlington,Sam Osborne,right-foot,regular,goal,0.09678,0.337
14168632,25/10/2025,Hereford,Fylde,Sam Osborne,left-foot,regular,miss,0.06594,0.0
14168632,25/10/2025,Hereford,Fylde,Sam Osborne,right-foot,regular,block,0.1829,0.0
14168632,25/10/2025,Hereford,Fylde,Sam Osborne,right-foot,regular,block,0.08319,0.0
14168632,25/10/2025,Hereford,Fylde,Sam Osborne,right-foot,corner,miss,0.07818,0.0
14168632,25/10/2025,Hereford,Fylde,Sam Osborne,right-foot,regular,save,0.434,0.3656
14168479,16/08/2025,Hereford,King's Lynn,Sam Osborne,left-foot,regular,miss,0.0819,0.0
14168506,23/08/2025,Hereford,Chorley,Sam Osborne,right-foot,regular,save,0.05537,0.0236
14168613,21/10/2025,Hereford,Telford,Sam Osborne,right-foot,regular,block,0.00205,0.0
14168613,21/10/2025,Hereford,Telford,Sam Osborne,left-foot,regular,goal,0.1892,0.477
14168641,01/11/2025,Hereford,Curzon Ashton,Sam Osborne,right-foot,regular,block,0.03028,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Sam Osborne,right-foot,regular,block,0.02852,0.0
14168641,01/11/2025,Hereford,Curzon Ashton,Sam Osborne,right-foot,regular,save,0.0188,0.007878
14168641,01/11/2025,Hereford,Curzon Ashton,Sam Osborne,right-foot,regular,block,0.05641,0.0
14168663,08/11/2025,Hereford,Southport,Sam Osborne,right-foot,regular,miss,0.02119,0.0
14168663,08/11/2025,Hereford,Southport,Sam Osborne,right-foot,regular,block,0.004051,0.0
14168663,08/11/2025,Hereford,Southport,Sam Osborne,right-foot,regular,save,0.04433,0.04609
14168582,04/10/2025,Hereford,Leamington,Sam Osborne,right-foot,regular,miss,0.01183,0.0
14168582,04/10/2025,Hereford,Leamington,Sam Osborne,left-foot,regular,save,0.02344,0.09193
14168582,04/10/2025,Hereford,Leamington,Sam Osborne,right-foot,regular,save,0.05043,0.01328
14168754,30/12/2025,Hereford,Merthyr,Sam Osborne,right-foot,regular,miss,0.129,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,left-foot,corner,miss,0.1388,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,right-foot,throw-in-set-piece,save,0.02004,0.0312
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,right-foot,set-piece,block,0.01064,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,right-foot,regular,miss,0.01023,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,right-foot,regular,miss,0.1465,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,left-foot,regular,post,0.06923,0.0
14168659,04/11/2025,Hereford,Oxford,Sam Osborne,right-foot,regular,miss,0.02319,0.0
14169015,06/12/2025,Hereford,Peterborough,Sam Osborne,left-foot,regular,block,0.09708,0.0
14168523,25/08/2025,Hereford,Radcliffe,Sam Osborne,right-foot,regular,miss,0.009961,0.0
15495083,17/03/2026,Alfreton,Southport,Sam Osborne,right-foot,regular,save,0.08061,0.2848
14168495,09/08/2025,Hereford,Spennymoor,Sam Osborne,left-foot,regular,block,0.01587,0.0
14168495,09/08/2025,Hereford,Spennymoor,Sam Osborne,right-foot,throw-in-set-piece,save,0.02434,0.04286
14168495,09/08/2025,Hereford,Spennymoor,Sam Osborne,right-foot,throw-in-set-piece,save,0.002311,0.02309
