Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Seb Thompson,right-foot,free-kick,save,0.03926,0.02663
14168746,30/12/2025,Leamington,Alfreton,Seb Thompson,right-foot,free-kick,miss,0.001315,0.0
14168746,30/12/2025,Leamington,Alfreton,Seb Thompson,right-foot,free-kick,miss,0.00045,0.0
15473461,17/03/2026,Kidderminster,Chorley,Seb Thompson,right-foot,throw-in-set-piece,block,0.01208,0.0
14168537,30/08/2025,Kidderminster,Curzon Ashton,Seb Thompson,left-foot,regular,miss,0.02819,0.0
14168505,23/08/2025,Kidderminster,Fylde,Seb Thompson,left-foot,regular,goal,0.01663,0.2326
14168505,23/08/2025,Kidderminster,Fylde,Seb Thompson,right-foot,regular,save,0.1505,0.1144
14168505,23/08/2025,Kidderminster,Fylde,Seb Thompson,right-foot,regular,save,0.1153,0.07079
14168505,23/08/2025,Kidderminster,Fylde,Seb Thompson,right-foot,regular,save,0.06425,0.06408
14168500,19/08/2025,Kidderminster,Oxford,Seb Thompson,left-foot,throw-in-set-piece,miss,0.01348,0.0
14168500,19/08/2025,Kidderminster,Oxford,Seb Thompson,right-foot,regular,block,0.0963,0.0
14168500,19/08/2025,Kidderminster,Oxford,Seb Thompson,right-foot,regular,block,0.006261,0.0
14168524,25/08/2025,Kidderminster,Leamington,Seb Thompson,right-foot,throw-in-set-piece,miss,0.003899,0.0
14168524,25/08/2025,Kidderminster,Leamington,Seb Thompson,head,regular,miss,0.2404,0.0
14168575,20/09/2025,Kidderminster,Buxton,Seb Thompson,right-foot,corner,block,0.3246,0.0
14168575,20/09/2025,Kidderminster,Buxton,Seb Thompson,left-foot,regular,block,0.08109,0.0
14168843,10/02/2026,Kidderminster,Merthyr,Seb Thompson,left-foot,regular,block,0.1393,0.0
14168871,21/02/2026,Kidderminster,Southport,Seb Thompson,right-foot,regular,block,0.0145,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Seb Thompson,right-foot,regular,save,0.2164,0.3425
14168923,10/03/2026,Kidderminster,Peterborough,Seb Thompson,right-foot,throw-in-set-piece,miss,0.01727,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Seb Thompson,right-foot,regular,goal,0.6331,0.8437
14168923,10/03/2026,Kidderminster,Peterborough,Seb Thompson,right-foot,regular,save,0.1396,0.05388
14168923,10/03/2026,Kidderminster,Peterborough,Seb Thompson,right-foot,free-kick,save,0.1138,0.2814
14168933,14/03/2026,Kidderminster,Chester,Seb Thompson,left-foot,regular,save,0.04294,0.01214
14168933,14/03/2026,Kidderminster,Chester,Seb Thompson,right-foot,regular,save,0.04477,0.01831
14168933,14/03/2026,Kidderminster,Chester,Seb Thompson,left-foot,regular,miss,0.01696,0.0
14168703,29/11/2025,Leamington,Worksop,Seb Thompson,left-foot,corner,block,0.01408,0.0
14168703,29/11/2025,Leamington,Worksop,Seb Thompson,right-foot,regular,save,0.2957,0.4157
14168703,29/11/2025,Leamington,Worksop,Seb Thompson,right-foot,regular,block,0.01366,0.0
14168703,29/11/2025,Leamington,Worksop,Seb Thompson,right-foot,regular,goal,0.1847,0.5678
14168703,29/11/2025,Leamington,Worksop,Seb Thompson,right-foot,regular,block,0.001428,0.0
14969964,09/12/2025,Leamington,Telford,Seb Thompson,right-foot,free-kick,miss,0.001245,0.0
14969964,09/12/2025,Leamington,Telford,Seb Thompson,left-foot,regular,miss,0.07645,0.0
14969964,09/12/2025,Leamington,Telford,Seb Thompson,right-foot,regular,miss,0.002955,0.0
14969964,09/12/2025,Leamington,Telford,Seb Thompson,right-foot,free-kick,save,0.03615,0.02825
14168740,26/12/2025,Leamington,Bedford,Seb Thompson,right-foot,free-kick,save,0.1311,0.0279
14168740,26/12/2025,Leamington,Bedford,Seb Thompson,right-foot,regular,miss,0.02699,0.0
14168740,26/12/2025,Leamington,Bedford,Seb Thompson,left-foot,regular,save,0.09465,0.09334
14168740,26/12/2025,Leamington,Bedford,Seb Thompson,right-foot,regular,block,0.00222,0.0
14168740,26/12/2025,Leamington,Bedford,Seb Thompson,right-foot,free-kick,block,0.001384,0.0
14168693,25/11/2025,Leamington,Merthyr,Seb Thompson,right-foot,regular,goal,0.2053,0.6911
14168693,25/11/2025,Leamington,Merthyr,Seb Thompson,right-foot,free-kick,miss,0.0005986,0.0
14168693,25/11/2025,Leamington,Merthyr,Seb Thompson,left-foot,regular,block,0.00715,0.0
14168693,25/11/2025,Leamington,Merthyr,Seb Thompson,right-foot,regular,save,0.05961,0.05285
14168693,25/11/2025,Leamington,Merthyr,Seb Thompson,left-foot,regular,miss,0.3552,0.0
14168731,20/12/2025,Leamington,Radcliffe,Seb Thompson,left-foot,throw-in-set-piece,miss,0.003672,0.0
14168731,20/12/2025,Leamington,Radcliffe,Seb Thompson,right-foot,free-kick,miss,0.0007425,0.0
14168731,20/12/2025,Leamington,Radcliffe,Seb Thompson,right-foot,regular,goal,0.0459,0.1561
14168731,20/12/2025,Leamington,Radcliffe,Seb Thompson,right-foot,free-kick,save,0.02703,0.01615
14168731,20/12/2025,Leamington,Radcliffe,Seb Thompson,right-foot,regular,miss,0.04554,0.0
14168791,17/01/2026,Leamington,South Shields,Seb Thompson,right-foot,free-kick,miss,0.01124,0.0
14168791,17/01/2026,Leamington,South Shields,Seb Thompson,right-foot,set-piece,block,0.01182,0.0
15519410,31/03/2026,Kidderminster,Spennymoor,Seb Thompson,right-foot,regular,miss,0.2298,0.0
15519410,31/03/2026,Kidderminster,Spennymoor,Seb Thompson,right-foot,free-kick,save,0.04724,0.1344
15519410,31/03/2026,Kidderminster,Spennymoor,Seb Thompson,left-foot,regular,goal,0.3516,0.7016
15519410,31/03/2026,Kidderminster,Spennymoor,Seb Thompson,right-foot,throw-in-set-piece,block,0.005805,0.0
15519410,31/03/2026,Kidderminster,Spennymoor,Seb Thompson,right-foot,regular,block,0.05715,0.0
