Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168879,24/02/2026,Peterborough,Bedford,Shaquile Coulthirst,right-foot,regular,block,0.03909,0.0
14168879,24/02/2026,Peterborough,Bedford,Shaquile Coulthirst,right-foot,throw-in-set-piece,save,0.02151,0.01144
14168879,24/02/2026,Peterborough,Bedford,Shaquile Coulthirst,head,regular,save,0.07876,0.09349
14168879,24/02/2026,Peterborough,Bedford,Shaquile Coulthirst,right-foot,regular,save,0.03405,0.07668
14168845,10/02/2026,Peterborough,Buxton,Shaquile Coulthirst,left-foot,throw-in-set-piece,miss,0.01366,0.0
14168821,31/01/2026,Peterborough,Chorley,Shaquile Coulthirst,head,regular,save,0.212,0.1569
14168821,31/01/2026,Peterborough,Chorley,Shaquile Coulthirst,right-foot,regular,block,0.0284,0.0
14168631,25/10/2025,Peterborough,Curzon Ashton,Shaquile Coulthirst,right-foot,throw-in-set-piece,miss,0.1091,0.0
14878242,18/11/2025,Peterborough,Darlington,Shaquile Coulthirst,left-foot,regular,miss,0.01838,0.0
14878242,18/11/2025,Peterborough,Darlington,Shaquile Coulthirst,right-foot,regular,save,0.1566,0.5012
15322125,03/02/2026,Peterborough,Fylde,Shaquile Coulthirst,right-foot,regular,block,0.09259,0.0
15322125,03/02/2026,Peterborough,Fylde,Shaquile Coulthirst,left-foot,throw-in-set-piece,block,0.03917,0.0
15322125,03/02/2026,Peterborough,Fylde,Shaquile Coulthirst,right-foot,regular,goal,0.6792,0.8736
15322125,03/02/2026,Peterborough,Fylde,Shaquile Coulthirst,right-foot,regular,block,0.02087,0.0
14168923,10/03/2026,Peterborough,Kidderminster,Shaquile Coulthirst,right-foot,regular,miss,0.0354,0.0
14168665,04/11/2025,Peterborough,Macclesfield,Shaquile Coulthirst,right-foot,regular,block,0.2,0.0
14168682,22/11/2025,Peterborough,Radcliffe,Shaquile Coulthirst,right-foot,regular,save,0.08636,0.2127
14168694,25/11/2025,Peterborough,Bedford,Shaquile Coulthirst,left-foot,regular,block,0.09088,0.0
14168694,25/11/2025,Peterborough,Bedford,Shaquile Coulthirst,right-foot,regular,save,0.103,0.222
14168730,20/12/2025,Peterborough,Scarborough,Shaquile Coulthirst,left-foot,corner,miss,0.3534,0.0
14168753,30/12/2025,Peterborough,Oxford,Shaquile Coulthirst,head,corner,block,0.09728,0.0
14168801,24/01/2026,Peterborough,Chester,Shaquile Coulthirst,left-foot,regular,goal,0.416,0.6924
14168801,24/01/2026,Peterborough,Chester,Shaquile Coulthirst,right-foot,regular,block,0.02615,0.0
14168801,24/01/2026,Peterborough,Chester,Shaquile Coulthirst,right-foot,regular,goal,0.1988,0.2373
14168801,24/01/2026,Peterborough,Chester,Shaquile Coulthirst,left-foot,regular,block,0.08374,0.0
14168801,24/01/2026,Peterborough,Chester,Shaquile Coulthirst,left-foot,regular,goal,0.4485,0.8174
14168812,27/01/2026,Peterborough,Macclesfield,Shaquile Coulthirst,left-foot,regular,goal,0.2469,0.7622
14168812,27/01/2026,Peterborough,Macclesfield,Shaquile Coulthirst,right-foot,regular,miss,0.2863,0.0
14168812,27/01/2026,Peterborough,Macclesfield,Shaquile Coulthirst,right-foot,regular,miss,0.3008,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Shaquile Coulthirst,left-foot,corner,block,0.2091,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Shaquile Coulthirst,right-foot,regular,block,0.02494,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Shaquile Coulthirst,left-foot,regular,save,0.03483,0.09072
14168862,14/02/2026,Peterborough,Spennymoor,Shaquile Coulthirst,right-foot,regular,miss,0.05174,0.0
14168862,14/02/2026,Peterborough,Spennymoor,Shaquile Coulthirst,right-foot,regular,miss,0.05919,0.0
14168900,28/02/2026,Peterborough,South Shields,Shaquile Coulthirst,head,regular,save,0.0577,0.03633
14168910,07/03/2026,Peterborough,Southport,Shaquile Coulthirst,right-foot,regular,miss,0.005381,0.0
14169015,06/12/2025,Peterborough,Hereford,Shaquile Coulthirst,left-foot,regular,miss,0.03022,0.0
14168874,21/02/2026,Peterborough,Radcliffe,Shaquile Coulthirst,right-foot,regular,save,0.2983,0.4877
14843593,28/10/2025,Peterborough,Southport,Shaquile Coulthirst,right-foot,regular,block,0.1108,0.0
