Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168496,19/08/2025,Bedford,Telford,Shaun Jeffers,right-foot,set-piece,save,0.3269,0.6506
14168568,20/09/2025,Bedford,Spennymoor,Shaun Jeffers,head,regular,miss,0.1128,0.0
14168658,08/11/2025,Bedford,Merthyr,Shaun Jeffers,head,corner,save,0.1172,0.4081
14168545,02/09/2025,Bedford,Hereford,Shaun Jeffers,right-foot,regular,save,0.0753,0.044
14168510,23/08/2025,Bedford,Marine,Shaun Jeffers,head,regular,save,0.05299,0.571
14168510,23/08/2025,Bedford,Marine,Shaun Jeffers,head,corner,miss,0.1149,0.0
14168801,24/01/2026,Peterborough,Chester,Shaun Jeffers,head,regular,save,0.1356,0.1069
14168837,07/02/2026,Peterborough,Curzon Ashton,Shaun Jeffers,right-foot,regular,save,0.4282,0.6425
14168862,14/02/2026,Peterborough,Spennymoor,Shaun Jeffers,head,regular,miss,0.03974,0.0
14168900,28/02/2026,Peterborough,South Shields,Shaun Jeffers,right-foot,regular,save,0.2286,0.2003
14168874,21/02/2026,Peterborough,Radcliffe,Shaun Jeffers,left-foot,regular,block,0.4478,0.0
14168481,16/08/2025,Bedford,Southport,Shaun Jeffers,right-foot,regular,save,0.06642,0.02993
