Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168727,20/12/2025,King's Lynn,Darlington,Simone Troso,left-foot,regular,save,0.04623,0.107
14168727,20/12/2025,King's Lynn,Darlington,Simone Troso,left-foot,regular,miss,0.1909,0.0
14168691,25/11/2025,King's Lynn,Buxton,Simone Troso,right-foot,regular,save,0.08157,0.2197
14168738,26/12/2025,King's Lynn,Peterborough,Simone Troso,right-foot,throw-in-set-piece,block,0.006907,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Simone Troso,left-foot,regular,save,0.173,0.1024
14168794,17/01/2026,King's Lynn,Hereford,Simone Troso,right-foot,regular,miss,0.01195,0.0
15379770,31/10/2025,King's Lynn,Alfreton,Simone Troso,left-foot,corner,block,0.01149,0.0
15379770,31/10/2025,King's Lynn,Alfreton,Simone Troso,right-foot,regular,block,0.07193,0.0
15399965,03/02/2026,King's Lynn,Southport,Simone Troso,right-foot,throw-in-set-piece,save,0.02093,0.1812
14168765,03/01/2026,King's Lynn,Merthyr,Simone Troso,right-foot,regular,block,0.04771,0.0
14168795,24/01/2026,King's Lynn,Telford,Simone Troso,left-foot,regular,goal,0.05872,0.5984
14168795,24/01/2026,King's Lynn,Telford,Simone Troso,right-foot,regular,save,0.02455,0.1143
14168992,11/04/2026,King's Lynn,Kidderminster,Simone Troso,left-foot,throw-in-set-piece,miss,0.08264,0.0
