Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,right-foot,regular,miss,0.01303,0.0
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,right-foot,regular,block,0.004957,0.0
14168470,16/08/2025,Alfreton,Darlington,Siyabonga Ligendza,head,throw-in-set-piece,save,0.1665,0.6932
14168617,21/10/2025,Alfreton,Chester,Siyabonga Ligendza,head,regular,save,0.02876,0.4757
14168638,01/11/2025,Alfreton,Kidderminster,Siyabonga Ligendza,head,throw-in-set-piece,goal,0.04824,0.379
14168638,01/11/2025,Alfreton,Kidderminster,Siyabonga Ligendza,right-foot,regular,block,0.02838,0.0
14168638,01/11/2025,Alfreton,Kidderminster,Siyabonga Ligendza,left-foot,set-piece,block,0.01311,0.0
14168638,01/11/2025,Alfreton,Kidderminster,Siyabonga Ligendza,left-foot,regular,save,0.02663,0.03571
14168638,01/11/2025,Alfreton,Kidderminster,Siyabonga Ligendza,right-foot,regular,block,0.001416,0.0
14168664,08/11/2025,Alfreton,Fylde,Siyabonga Ligendza,right-foot,regular,miss,0.06188,0.0
14877540,11/11/2025,Alfreton,Spennymoor,Siyabonga Ligendza,right-foot,regular,miss,0.002355,0.0
15174859,16/12/2025,Alfreton,Southport,Siyabonga Ligendza,right-foot,regular,block,0.114,0.0
15174859,16/12/2025,Alfreton,Southport,Siyabonga Ligendza,right-foot,throw-in-set-piece,block,0.02471,0.0
15174859,16/12/2025,Alfreton,Southport,Siyabonga Ligendza,right-foot,throw-in-set-piece,miss,0.01119,0.0
15174859,16/12/2025,Alfreton,Southport,Siyabonga Ligendza,left-foot,regular,miss,0.01879,0.0
14168746,30/12/2025,Alfreton,Leamington,Siyabonga Ligendza,right-foot,regular,save,0.1647,0.1637
14168746,30/12/2025,Alfreton,Leamington,Siyabonga Ligendza,right-foot,regular,miss,0.06112,0.0
14168746,30/12/2025,Alfreton,Leamington,Siyabonga Ligendza,right-foot,regular,block,0.05549,0.0
