Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168880,24/02/2026,Scarborough,Alfreton,Stephen Walker,left-foot,regular,miss,0.6524,0.0
14168880,24/02/2026,Scarborough,Alfreton,Stephen Walker,right-foot,regular,save,0.2974,0.6505
14168880,24/02/2026,Scarborough,Alfreton,Stephen Walker,left-foot,regular,block,0.1305,0.0
14168880,24/02/2026,Scarborough,Alfreton,Stephen Walker,right-foot,throw-in-set-piece,miss,0.003221,0.0
14168556,06/09/2025,Scarborough,Chester,Stephen Walker,left-foot,regular,block,0.02867,0.0
14168556,06/09/2025,Scarborough,Chester,Stephen Walker,right-foot,regular,miss,0.05819,0.0
14168498,19/08/2025,Scarborough,Chorley,Stephen Walker,left-foot,regular,block,0.0502,0.0
14168870,21/02/2026,Scarborough,Hereford,Stephen Walker,right-foot,regular,goal,0.5749,0.8683
14168474,09/08/2025,Scarborough,Kidderminster,Stephen Walker,right-foot,regular,block,0.2435,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Stephen Walker,right-foot,regular,save,0.1629,0.1724
14168581,04/10/2025,Scarborough,King's Lynn,Stephen Walker,left-foot,regular,save,0.1429,0.05797
14168581,04/10/2025,Scarborough,King's Lynn,Stephen Walker,right-foot,throw-in-set-piece,block,0.01508,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Stephen Walker,left-foot,regular,miss,0.05428,0.0
14168581,04/10/2025,Scarborough,King's Lynn,Stephen Walker,right-foot,regular,goal,0.2788,0.4418
14168942,21/03/2026,Scarborough,Leamington,Stephen Walker,left-foot,regular,save,0.1307,0.04514
14168942,21/03/2026,Scarborough,Leamington,Stephen Walker,left-foot,regular,block,0.189,0.0
14168942,21/03/2026,Scarborough,Leamington,Stephen Walker,left-foot,regular,miss,0.1055,0.0
14168942,21/03/2026,Scarborough,Leamington,Stephen Walker,left-foot,regular,miss,0.1419,0.0
