Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14837121,11/11/2025,Buxton,Bedford,Tate Campbell,right-foot,throw-in-set-piece,save,0.001252,0.1553
14169188,18/10/2025,Buxton,Chorley,Tate Campbell,left-foot,throw-in-set-piece,miss,0.05785,0.0
14168662,08/11/2025,Buxton,Chester,Tate Campbell,right-foot,regular,save,0.1451,0.06247
14168700,29/11/2025,Buxton,Merthyr,Tate Campbell,head,corner,goal,0.07167,0.2809
14168700,29/11/2025,Buxton,Merthyr,Tate Campbell,right-foot,regular,save,0.1811,0.2674
14168724,20/12/2025,Buxton,Telford,Tate Campbell,right-foot,set-piece,block,0.2653,0.0
14168751,30/12/2025,Buxton,Worksop,Tate Campbell,right-foot,regular,miss,0.03863,0.0
14168757,03/01/2026,Buxton,South Shields,Tate Campbell,right-foot,regular,miss,0.03286,0.0
14168783,17/01/2026,Buxton,Marine,Tate Campbell,right-foot,regular,goal,0.1218,0.45
14168783,17/01/2026,Buxton,Marine,Tate Campbell,left-foot,regular,save,0.7684,0.8787
14168783,17/01/2026,Buxton,Marine,Tate Campbell,head,regular,save,0.1404,0.2397
14168675,22/11/2025,Buxton,Fylde,Tate Campbell,right-foot,regular,goal,0.04797,0.4289
14168675,22/11/2025,Buxton,Fylde,Tate Campbell,right-foot,regular,save,0.0682,0.02265
14168472,16/08/2025,Buxton,Marine,Tate Campbell,right-foot,regular,save,0.1212,0.4404
14168616,21/10/2025,Buxton,Peterborough,Tate Campbell,head,corner,save,0.2111,0.4498
14168616,21/10/2025,Buxton,Peterborough,Tate Campbell,right-foot,regular,save,0.0978,0.07258
14168616,21/10/2025,Buxton,Peterborough,Tate Campbell,left-foot,corner,save,0.08769,0.1901
14168798,24/01/2026,Buxton,Radcliffe,Tate Campbell,right-foot,regular,block,0.1214,0.0
15141451,13/12/2025,Buxton,Spennymoor,Tate Campbell,right-foot,regular,block,0.03407,0.0
