Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168841,10/02/2026,Southport,Chorley,Teddy Lavelle,right-foot,regular,miss,0.03556,0.0
14168841,10/02/2026,Southport,Chorley,Teddy Lavelle,left-foot,corner,goal,0.09143,0.3362
14168630,25/10/2025,Southport,Darlington,Teddy Lavelle,right-foot,throw-in-set-piece,miss,0.009044,0.0
14168663,08/11/2025,Southport,Hereford,Teddy Lavelle,left-foot,set-piece,miss,0.09394,0.0
14168547,02/09/2025,Southport,Leamington,Teddy Lavelle,left-foot,regular,block,0.006579,0.0
14168547,02/09/2025,Southport,Leamington,Teddy Lavelle,left-foot,regular,save,0.05646,0.05434
14168741,26/12/2025,Southport,Marine,Teddy Lavelle,left-foot,regular,save,0.05942,0.1331
14168741,26/12/2025,Southport,Marine,Teddy Lavelle,left-foot,regular,goal,0.0216,0.03427
14168606,18/10/2025,Southport,Oxford,Teddy Lavelle,left-foot,regular,miss,0.002775,0.0
14168888,24/02/2026,Southport,Radcliffe,Teddy Lavelle,left-foot,throw-in-set-piece,miss,0.001289,0.0
14168888,24/02/2026,Southport,Radcliffe,Teddy Lavelle,left-foot,regular,miss,0.08817,0.0
14168534,30/08/2025,Southport,Scarborough,Teddy Lavelle,left-foot,corner,miss,0.16,0.0
14168481,16/08/2025,Southport,Bedford,Teddy Lavelle,left-foot,throw-in-set-piece,save,0.0347,0.2005
14168508,19/08/2025,Southport,Macclesfield,Teddy Lavelle,left-foot,regular,save,0.0329,0.07989
14168508,19/08/2025,Southport,Macclesfield,Teddy Lavelle,left-foot,regular,save,0.02838,0.09841
14168563,06/09/2025,Southport,South Shields,Teddy Lavelle,head,set-piece,miss,0.006935,0.0
14168563,06/09/2025,Southport,South Shields,Teddy Lavelle,left-foot,regular,block,0.01058,0.0
14168563,06/09/2025,Southport,South Shields,Teddy Lavelle,left-foot,regular,save,0.05416,0.02666
14168621,21/10/2025,Southport,Chorley,Teddy Lavelle,left-foot,regular,save,0.1225,0.3722
14168621,21/10/2025,Southport,Chorley,Teddy Lavelle,left-foot,regular,post,0.143,0.0
14168621,21/10/2025,Southport,Chorley,Teddy Lavelle,left-foot,regular,save,0.02564,0.03367
14168621,21/10/2025,Southport,Chorley,Teddy Lavelle,left-foot,regular,save,0.05296,0.2631
14843593,28/10/2025,Southport,Peterborough,Teddy Lavelle,left-foot,regular,block,0.007409,0.0
14877776,11/11/2025,Southport,Chester,Teddy Lavelle,left-foot,regular,miss,0.01969,0.0
14168732,20/12/2025,Southport,Worksop,Teddy Lavelle,left-foot,regular,block,0.0283,0.0
14168756,30/12/2025,Southport,Curzon Ashton,Teddy Lavelle,left-foot,regular,save,0.08897,0.07854
14168756,30/12/2025,Southport,Curzon Ashton,Teddy Lavelle,left-foot,regular,block,0.2137,0.0
14168756,30/12/2025,Southport,Curzon Ashton,Teddy Lavelle,left-foot,throw-in-set-piece,post,0.04082,0.0
14168767,03/01/2026,Southport,Scarborough,Teddy Lavelle,right-foot,corner,block,0.3312,0.0
14168840,07/02/2026,Southport,Darlington,Teddy Lavelle,right-foot,corner,block,0.2763,0.0
14168840,07/02/2026,Southport,Darlington,Teddy Lavelle,head,corner,miss,0.06448,0.0
15447028,17/02/2026,Southport,Buxton,Teddy Lavelle,left-foot,regular,block,0.01238,0.0
15447028,17/02/2026,Southport,Buxton,Teddy Lavelle,left-foot,corner,save,0.01994,0.01855
14168925,10/03/2026,Southport,Spennymoor,Teddy Lavelle,head,corner,block,0.1171,0.0
14168938,14/03/2026,Southport,Oxford,Teddy Lavelle,left-foot,regular,block,0.002803,0.0
14168938,14/03/2026,Southport,Oxford,Teddy Lavelle,left-foot,corner,goal,0.2644,0.609
15495083,17/03/2026,Southport,Alfreton,Teddy Lavelle,left-foot,regular,miss,0.4094,0.0
15495083,17/03/2026,Southport,Alfreton,Teddy Lavelle,left-foot,regular,post,0.04633,0.0
14168518,23/08/2025,Southport,Worksop,Teddy Lavelle,left-foot,regular,miss,0.003567,0.0
14169011,25/04/2026,Southport,Telford,Teddy Lavelle,left-foot,regular,miss,0.02614,0.0
