Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168699,29/11/2025,Darlington,Bedford,Thomas Allan,head,regular,goal,0.2613,0.5338
14168792,24/01/2026,Darlington,Chorley,Thomas Allan,right-foot,regular,block,0.1127,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Thomas Allan,right-foot,free-kick,block,0.1347,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Thomas Allan,right-foot,regular,miss,0.1201,0.0
14168494,09/08/2025,Darlington,Chorley,Thomas Allan,right-foot,regular,block,0.03023,0.0
14168494,09/08/2025,Darlington,Chorley,Thomas Allan,right-foot,regular,block,0.002938,0.0
14168494,09/08/2025,Darlington,Chorley,Thomas Allan,right-foot,regular,miss,0.004956,0.0
14878242,18/11/2025,Darlington,Peterborough,Thomas Allan,right-foot,free-kick,save,0.05332,0.1282
14878242,18/11/2025,Darlington,Peterborough,Thomas Allan,right-foot,regular,block,0.05367,0.0
14168752,30/12/2025,Darlington,South Shields,Thomas Allan,right-foot,free-kick,block,0.001315,0.0
14168787,17/01/2026,Darlington,Alfreton,Thomas Allan,right-foot,regular,save,0.1108,0.06301
14168787,17/01/2026,Darlington,Alfreton,Thomas Allan,right-foot,regular,save,0.2719,0.3017
14168787,17/01/2026,Darlington,Alfreton,Thomas Allan,left-foot,regular,block,0.06791,0.0
14168787,17/01/2026,Darlington,Alfreton,Thomas Allan,right-foot,regular,miss,0.06874,0.0
14168787,17/01/2026,Darlington,Alfreton,Thomas Allan,left-foot,regular,goal,0.6847,0.9407
14168823,31/01/2026,Darlington,Merthyr,Thomas Allan,right-foot,corner,block,0.0707,0.0
14168823,31/01/2026,Darlington,Merthyr,Thomas Allan,right-foot,regular,block,0.009544,0.0
14168951,28/03/2026,Darlington,Fylde,Thomas Allan,left-foot,set-piece,save,0.2204,0.7347
15261863,17/02/2026,Darlington,Hereford,Thomas Allan,right-foot,regular,miss,0.00419,0.0
15261863,17/02/2026,Darlington,Hereford,Thomas Allan,left-foot,corner,block,0.08704,0.0
14168513,23/08/2025,Darlington,King's Lynn,Thomas Allan,left-foot,regular,block,0.06464,0.0
14168549,02/09/2025,Darlington,Marine,Thomas Allan,left-foot,regular,block,0.0456,0.0
14168549,02/09/2025,Darlington,Marine,Thomas Allan,right-foot,regular,goal,0.3834,0.5464
14168725,06/12/2025,Darlington,Oxford,Thomas Allan,right-foot,regular,miss,0.08797,0.0
14168618,21/10/2025,Darlington,Radcliffe,Thomas Allan,right-foot,regular,save,0.1817,0.3205
14168618,21/10/2025,Darlington,Radcliffe,Thomas Allan,left-foot,regular,block,0.007689,0.0
14168840,07/02/2026,Darlington,Southport,Thomas Allan,head,regular,miss,0.5093,0.0
14168840,07/02/2026,Darlington,Southport,Thomas Allan,right-foot,throw-in-set-piece,miss,0.04847,0.0
14168817,27/01/2026,Darlington,Worksop,Thomas Allan,right-foot,regular,miss,0.1028,0.0
