Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168746,30/12/2025,Leamington,Alfreton,Tim Berridge,left-foot,regular,block,0.002929,0.0
14168677,22/11/2025,Leamington,Chester,Tim Berridge,right-foot,regular,save,0.07419,0.04899
14168677,22/11/2025,Leamington,Chester,Tim Berridge,right-foot,regular,block,0.002945,0.0
14168677,22/11/2025,Leamington,Chester,Tim Berridge,left-foot,regular,block,0.003275,0.0
14168677,22/11/2025,Leamington,Chester,Tim Berridge,right-foot,throw-in-set-piece,block,0.01017,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Tim Berridge,right-foot,regular,block,0.008867,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Tim Berridge,right-foot,regular,save,0.07402,0.2579
14168491,09/08/2025,Leamington,Curzon Ashton,Tim Berridge,head,regular,post,0.36,0.0
14168491,09/08/2025,Leamington,Curzon Ashton,Tim Berridge,right-foot,regular,block,0.03994,0.0
14168661,04/11/2025,Leamington,King's Lynn,Tim Berridge,left-foot,regular,miss,0.1465,0.0
14168497,16/08/2025,Leamington,South Shields,Tim Berridge,right-foot,regular,miss,0.03456,0.0
14168540,30/08/2025,Leamington,Chorley,Tim Berridge,right-foot,regular,miss,0.02649,0.0
14168547,02/09/2025,Leamington,Southport,Tim Berridge,right-foot,regular,save,0.04099,0.04713
14168582,04/10/2025,Leamington,Hereford,Tim Berridge,left-foot,set-piece,save,0.09662,0.1784
14168582,04/10/2025,Leamington,Hereford,Tim Berridge,right-foot,corner,miss,0.005483,0.0
14168582,04/10/2025,Leamington,Hereford,Tim Berridge,right-foot,regular,goal,0.09631,0.2102
14168668,08/11/2025,Leamington,Marine,Tim Berridge,head,corner,miss,0.08751,0.0
14168668,08/11/2025,Leamington,Marine,Tim Berridge,right-foot,regular,miss,0.05064,0.0
14168703,29/11/2025,Leamington,Worksop,Tim Berridge,right-foot,regular,block,0.001667,0.0
14168703,29/11/2025,Leamington,Worksop,Tim Berridge,right-foot,corner,save,0.05078,0.1819
14168703,29/11/2025,Leamington,Worksop,Tim Berridge,right-foot,regular,save,0.341,0.2608
14969964,09/12/2025,Leamington,Telford,Tim Berridge,left-foot,regular,goal,0.07545,0.3293
14969964,09/12/2025,Leamington,Telford,Tim Berridge,right-foot,regular,post,0.2277,0.0
14168740,26/12/2025,Leamington,Bedford,Tim Berridge,left-foot,regular,block,0.07108,0.0
14168802,24/01/2026,Leamington,Curzon Ashton,Tim Berridge,left-foot,throw-in-set-piece,goal,0.03945,0.1254
14168802,24/01/2026,Leamington,Curzon Ashton,Tim Berridge,right-foot,regular,miss,0.07787,0.0
14168833,07/02/2026,Leamington,Oxford,Tim Berridge,left-foot,regular,miss,0.02719,0.0
15399474,17/02/2026,Leamington,Spennymoor,Tim Berridge,right-foot,regular,block,0.02677,0.0
15399474,17/02/2026,Leamington,Spennymoor,Tim Berridge,right-foot,regular,save,0.04044,0.4875
14168873,21/02/2026,Leamington,Chester,Tim Berridge,left-foot,throw-in-set-piece,block,0.1381,0.0
14168873,21/02/2026,Leamington,Chester,Tim Berridge,left-foot,throw-in-set-piece,block,0.07387,0.0
14168886,24/02/2026,Leamington,Merthyr,Tim Berridge,right-foot,throw-in-set-piece,miss,0.04365,0.0
14168958,28/03/2026,Leamington,Peterborough,Tim Berridge,left-foot,regular,save,0.6251,0.7362
14168958,28/03/2026,Leamington,Peterborough,Tim Berridge,right-foot,regular,miss,0.07414,0.0
14168636,25/10/2025,Leamington,Oxford,Tim Berridge,left-foot,regular,block,0.07449,0.0
14168600,11/10/2025,Leamington,Scarborough,Tim Berridge,left-foot,corner,miss,0.02632,0.0
14168565,06/08/2025,Leamington,Spennymoor,Tim Berridge,right-foot,regular,block,0.06814,0.0
14168565,06/08/2025,Leamington,Spennymoor,Tim Berridge,right-foot,regular,block,0.1315,0.0
