Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168638,01/11/2025,Kidderminster,Alfreton,Tobi Sho-Silva,head,corner,goal,0.2966,0.6845
14168638,01/11/2025,Kidderminster,Alfreton,Tobi Sho-Silva,head,corner,miss,0.08306,0.0
14168603,18/10/2025,Kidderminster,Chester,Tobi Sho-Silva,right-foot,set-piece,miss,0.06689,0.0
14168597,11/10/2025,Kidderminster,Radcliffe,Tobi Sho-Silva,right-foot,set-piece,block,0.03487,0.0
14168597,11/10/2025,Kidderminster,Radcliffe,Tobi Sho-Silva,head,regular,miss,0.1686,0.0
14168633,25/10/2025,Kidderminster,Spennymoor,Tobi Sho-Silva,head,regular,miss,0.1316,0.0
14168633,25/10/2025,Kidderminster,Spennymoor,Tobi Sho-Silva,head,corner,miss,0.1614,0.0
14168633,25/10/2025,Kidderminster,Spennymoor,Tobi Sho-Silva,right-foot,regular,save,0.08645,0.2954
14168633,25/10/2025,Kidderminster,Spennymoor,Tobi Sho-Silva,right-foot,regular,miss,0.04317,0.0
14168657,04/11/2025,Kidderminster,Bedford,Tobi Sho-Silva,head,regular,save,0.2625,0.5414
14168667,08/11/2025,Kidderminster,Darlington,Tobi Sho-Silva,head,regular,miss,0.001385,0.0
14168667,08/11/2025,Kidderminster,Darlington,Tobi Sho-Silva,left-foot,regular,miss,0.5539,0.0
14168667,08/11/2025,Kidderminster,Darlington,Tobi Sho-Silva,head,regular,post,0.07653,0.0
14168620,21/10/2025,Kidderminster,Merthyr,Tobi Sho-Silva,left-foot,regular,save,0.2175,0.1286
14168620,21/10/2025,Kidderminster,Merthyr,Tobi Sho-Silva,right-foot,corner,block,0.001101,0.0
14168620,21/10/2025,Kidderminster,Merthyr,Tobi Sho-Silva,head,regular,save,0.1041,0.07108
