Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168699,29/11/2025,Darlington,Bedford,Toby Lees,head,corner,miss,0.0312,0.0
14168903,07/03/2026,Darlington,Chester,Toby Lees,head,corner,goal,0.2716,0.8965
14168494,09/08/2025,Darlington,Chorley,Toby Lees,right-foot,regular,miss,0.0909,0.0
14168569,20/09/2025,Darlington,Chester,Toby Lees,right-foot,corner,block,0.08086,0.0
14168656,04/11/2025,Darlington,Worksop,Toby Lees,head,set-piece,save,0.1217,0.1456
14878242,18/11/2025,Darlington,Peterborough,Toby Lees,right-foot,corner,goal,0.5427,0.8888
14168679,22/11/2025,Darlington,Spennymoor,Toby Lees,head,set-piece,miss,0.2032,0.0
14168679,22/11/2025,Darlington,Spennymoor,Toby Lees,head,regular,miss,0.1125,0.0
14168752,30/12/2025,Darlington,South Shields,Toby Lees,head,corner,miss,0.2591,0.0
15341358,03/03/2026,Darlington,Macclesfield,Toby Lees,head,corner,save,0.1056,0.09839
15559405,24/03/2026,Darlington,Kidderminster,Toby Lees,head,set-piece,miss,0.1155,0.0
15559405,24/03/2026,Darlington,Kidderminster,Toby Lees,head,throw-in-set-piece,save,0.0594,0.09592
15261863,17/02/2026,Darlington,Hereford,Toby Lees,head,throw-in-set-piece,save,0.04492,0.2771
14168640,01/11/2025,Darlington,Merthyr,Toby Lees,right-foot,regular,block,0.05771,0.0
14168618,21/10/2025,Darlington,Radcliffe,Toby Lees,head,corner,goal,0.1189,0.8497
14168742,26/12/2025,Darlington,Scarborough,Toby Lees,head,corner,goal,0.3167,0.5927
14168877,21/02/2026,Darlington,Spennymoor,Toby Lees,head,set-piece,miss,0.1186,0.0
