Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168691,25/11/2025,King's Lynn,Buxton,Tom Dickens,left-foot,set-piece,goal,0.4333,0.4816
14168714,06/12/2025,King's Lynn,Chester,Tom Dickens,head,corner,block,0.01361,0.0
14168714,06/12/2025,King's Lynn,Chester,Tom Dickens,head,corner,miss,0.08401,0.0
14168738,26/12/2025,King's Lynn,Peterborough,Tom Dickens,right-foot,regular,save,0.1459,0.5079
14168738,26/12/2025,King's Lynn,Peterborough,Tom Dickens,right-foot,set-piece,goal,0.927,0.9554
15379770,31/10/2025,King's Lynn,Alfreton,Tom Dickens,head,regular,save,0.2312,0.3118
15399965,03/02/2026,King's Lynn,Southport,Tom Dickens,right-foot,corner,miss,0.5709,0.0
15399965,03/02/2026,King's Lynn,Southport,Tom Dickens,head,corner,block,0.1772,0.0
15578956,17/03/2026,King's Lynn,South Shields,Tom Dickens,head,set-piece,save,0.04332,0.01384
14168872,21/02/2026,King's Lynn,Macclesfield,Tom Dickens,other,own-goal,goal,,0.0
14168872,21/02/2026,King's Lynn,Macclesfield,Tom Dickens,head,corner,miss,0.3731,0.0
14168503,19/08/2025,King's Lynn,Spennymoor,Tom Dickens,right-foot,corner,block,0.1954,0.0
14168982,03/04/2026,King's Lynn,Peterborough,Tom Dickens,head,throw-in-set-piece,block,0.023,0.0
