Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168865,21/02/2026,Merthyr,Alfreton,Tom Handley,left-foot,corner,save,0.2227,0.5107
14168865,21/02/2026,Merthyr,Alfreton,Tom Handley,right-foot,regular,block,0.009695,0.0
14168865,21/02/2026,Merthyr,Alfreton,Tom Handley,right-foot,free-kick,save,0.1692,0.1009
14168865,21/02/2026,Merthyr,Alfreton,Tom Handley,right-foot,regular,block,0.01032,0.0
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,right-foot,regular,miss,0.006093,0.0
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,right-foot,regular,miss,0.09082,0.0
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,left-foot,corner,save,0.05431,0.585
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,head,corner,save,0.06278,0.06199
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,right-foot,regular,block,0.007768,0.0
14168658,08/11/2025,Merthyr,Bedford,Tom Handley,head,corner,miss,0.1583,0.0
14168578,04/10/2025,Merthyr,Chester,Tom Handley,right-foot,throw-in-set-piece,goal,0.03163,0.5439
14168578,04/10/2025,Merthyr,Chester,Tom Handley,right-foot,free-kick,block,0.2795,0.0
14168578,04/10/2025,Merthyr,Chester,Tom Handley,other,own-goal,goal,,0.0
14168823,31/01/2026,Merthyr,Darlington,Tom Handley,head,corner,miss,0.2057,0.0
14168533,30/08/2025,Merthyr,King's Lynn,Tom Handley,right-foot,regular,block,0.06057,0.0
14168533,30/08/2025,Merthyr,King's Lynn,Tom Handley,right-foot,corner,miss,0.2148,0.0
14168533,30/08/2025,Merthyr,King's Lynn,Tom Handley,right-foot,regular,block,0.06898,0.0
14168533,30/08/2025,Merthyr,King's Lynn,Tom Handley,right-foot,regular,miss,0.4896,0.0
14168886,24/02/2026,Merthyr,Leamington,Tom Handley,right-foot,regular,save,0.02412,0.05772
14168548,02/09/2025,Merthyr,Macclesfield,Tom Handley,right-foot,free-kick,goal,0.08423,0.5108
14168548,02/09/2025,Merthyr,Macclesfield,Tom Handley,right-foot,free-kick,goal,0.07698,0.4268
14168548,02/09/2025,Merthyr,Macclesfield,Tom Handley,right-foot,regular,post,0.01321,0.0
14168548,02/09/2025,Merthyr,Macclesfield,Tom Handley,right-foot,corner,goal,0.1605,0.4812
14168489,09/08/2025,Merthyr,Southport,Tom Handley,head,corner,save,0.04824,0.2401
14168489,09/08/2025,Merthyr,Southport,Tom Handley,right-foot,corner,miss,0.1878,0.0
14168560,06/09/2025,Merthyr,Worksop,Tom Handley,left-foot,corner,block,0.1399,0.0
14168574,20/09/2025,Merthyr,Radcliffe,Tom Handley,right-foot,regular,miss,0.02329,0.0
14168681,22/11/2025,Merthyr,Alfreton,Tom Handley,right-foot,free-kick,block,0.001393,0.0
14168681,22/11/2025,Merthyr,Alfreton,Tom Handley,right-foot,regular,save,0.05669,0.03062
14168681,22/11/2025,Merthyr,Alfreton,Tom Handley,head,corner,miss,0.02593,0.0
14168693,25/11/2025,Merthyr,Leamington,Tom Handley,right-foot,regular,miss,0.07489,0.0
14168693,25/11/2025,Merthyr,Leamington,Tom Handley,left-foot,corner,post,0.08891,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Tom Handley,right-foot,regular,save,0.03955,0.1866
14168729,20/12/2025,Merthyr,Curzon Ashton,Tom Handley,left-foot,regular,block,0.1495,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Tom Handley,right-foot,throw-in-set-piece,block,0.1692,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Tom Handley,right-foot,free-kick,block,0.05898,0.0
14168729,20/12/2025,Merthyr,Curzon Ashton,Tom Handley,right-foot,regular,miss,0.01213,0.0
14168754,30/12/2025,Merthyr,Hereford,Tom Handley,right-foot,regular,block,0.06817,0.0
14168754,30/12/2025,Merthyr,Hereford,Tom Handley,right-foot,regular,save,0.02218,0.2835
14168754,30/12/2025,Merthyr,Hereford,Tom Handley,right-foot,regular,post,0.02494,0.0
14168754,30/12/2025,Merthyr,Hereford,Tom Handley,left-foot,corner,block,0.1533,0.0
14168754,30/12/2025,Merthyr,Hereford,Tom Handley,right-foot,regular,save,0.04926,0.2469
14168789,17/01/2026,Merthyr,Peterborough,Tom Handley,right-foot,regular,miss,0.04714,0.0
14168811,27/01/2026,Merthyr,Telford,Tom Handley,right-foot,throw-in-set-piece,miss,0.004136,0.0
14168811,27/01/2026,Merthyr,Telford,Tom Handley,left-foot,regular,miss,0.05048,0.0
