Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168903,07/03/2026,Darlington,Chester,Tom Tweedy,left-foot,set-piece,block,0.01078,0.0
14168903,07/03/2026,Darlington,Chester,Tom Tweedy,left-foot,regular,miss,0.06227,0.0
14168881,24/02/2026,Darlington,Curzon Ashton,Tom Tweedy,left-foot,regular,miss,0.002056,0.0
14168823,31/01/2026,Darlington,Merthyr,Tom Tweedy,left-foot,set-piece,block,0.0123,0.0
14168823,31/01/2026,Darlington,Merthyr,Tom Tweedy,left-foot,regular,miss,0.2331,0.0
14168895,28/02/2026,Darlington,Bedford,Tom Tweedy,right-foot,throw-in-set-piece,miss,0.006576,0.0
14168895,28/02/2026,Darlington,Bedford,Tom Tweedy,left-foot,corner,block,0.04911,0.0
14168895,28/02/2026,Darlington,Bedford,Tom Tweedy,left-foot,corner,block,0.01349,0.0
14168895,28/02/2026,Darlington,Bedford,Tom Tweedy,left-foot,regular,block,0.01516,0.0
15341358,03/03/2026,Darlington,Macclesfield,Tom Tweedy,left-foot,regular,miss,0.07339,0.0
14168918,10/03/2026,Darlington,Buxton,Tom Tweedy,left-foot,set-piece,miss,0.1031,0.0
14168931,14/03/2026,Darlington,Leamington,Tom Tweedy,left-foot,regular,save,0.1568,0.09881
15261863,17/02/2026,Darlington,Hereford,Tom Tweedy,left-foot,regular,block,0.03642,0.0
15261863,17/02/2026,Darlington,Hereford,Tom Tweedy,head,throw-in-set-piece,miss,0.06364,0.0
14168840,07/02/2026,Darlington,Southport,Tom Tweedy,left-foot,throw-in-set-piece,block,0.184,0.0
14168877,21/02/2026,Darlington,Spennymoor,Tom Tweedy,left-foot,corner,miss,0.02417,0.0
14168817,27/01/2026,Darlington,Worksop,Tom Tweedy,right-foot,regular,miss,0.4636,0.0
14168817,27/01/2026,Darlington,Worksop,Tom Tweedy,left-foot,regular,block,0.003931,0.0
14168967,03/04/2026,Darlington,Scarborough,Tom Tweedy,right-foot,regular,save,0.2621,0.3346
14168967,03/04/2026,Darlington,Scarborough,Tom Tweedy,left-foot,regular,miss,0.03951,0.0
14169013,25/04/2026,Darlington,Oxford,Tom Tweedy,left-foot,regular,save,0.68,0.72
14169013,25/04/2026,Darlington,Oxford,Tom Tweedy,left-foot,regular,miss,0.1389,0.0
