Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168555,06/09/2025,Curzon Ashton,Bedford,Tony Weston,left-foot,throw-in-set-piece,save,0.03536,0.03286
14168555,06/09/2025,Curzon Ashton,Bedford,Tony Weston,right-foot,regular,miss,0.06979,0.0
14168555,06/09/2025,Curzon Ashton,Bedford,Tony Weston,right-foot,regular,goal,0.6703,0.7008
14168555,06/09/2025,Curzon Ashton,Bedford,Tony Weston,right-foot,regular,miss,0.02795,0.0
14168521,25/08/2025,Curzon Ashton,Buxton,Tony Weston,right-foot,regular,block,0.03666,0.0
14168484,19/08/2025,Curzon Ashton,Chester,Tony Weston,left-foot,regular,miss,0.1434,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Tony Weston,right-foot,regular,block,0.0387,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Tony Weston,left-foot,regular,block,0.0585,0.0
14168491,09/08/2025,Curzon Ashton,Leamington,Tony Weston,left-foot,regular,miss,0.08472,0.0
14168537,30/08/2025,Curzon Ashton,Kidderminster,Tony Weston,right-foot,throw-in-set-piece,miss,0.01115,0.0
14168537,30/08/2025,Curzon Ashton,Kidderminster,Tony Weston,right-foot,throw-in-set-piece,miss,0.08788,0.0
14168631,25/10/2025,Curzon Ashton,Peterborough,Tony Weston,right-foot,regular,save,0.09957,0.1085
14813803,28/10/2025,Curzon Ashton,King's Lynn,Tony Weston,left-foot,regular,miss,0.09549,0.0
14813803,28/10/2025,Curzon Ashton,King's Lynn,Tony Weston,left-foot,regular,goal,0.329,0.4389
14168655,04/11/2025,Curzon Ashton,Spennymoor,Tony Weston,right-foot,regular,save,0.07158,0.2347
14168655,04/11/2025,Curzon Ashton,Spennymoor,Tony Weston,right-foot,regular,save,0.1692,0.09618
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,left-foot,regular,miss,0.01287,0.0
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,miss,0.02852,0.0
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,block,0.006483,0.0
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,post,0.3927,0.0
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,miss,0.002497,0.0
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,goal,0.2985,0.4208
14168709,06/12/2025,Curzon Ashton,Alfreton,Tony Weston,right-foot,regular,block,0.02086,0.0
14168736,26/12/2025,Curzon Ashton,Radcliffe,Tony Weston,right-foot,throw-in-set-piece,save,0.04178,0.1364
14168786,17/01/2026,Curzon Ashton,Telford,Tony Weston,left-foot,regular,block,0.09708,0.0
15399954,03/02/2026,Curzon Ashton,Bedford,Tony Weston,right-foot,regular,save,0.03295,0.04274
15399954,03/02/2026,Curzon Ashton,Bedford,Tony Weston,right-foot,regular,save,0.09926,0.2669
14168847,10/02/2026,Curzon Ashton,Marine,Tony Weston,right-foot,regular,goal,0.08386,0.117
14168847,10/02/2026,Curzon Ashton,Marine,Tony Weston,right-foot,regular,goal,0.2103,0.7239
14168847,10/02/2026,Curzon Ashton,Marine,Tony Weston,right-foot,regular,post,0.1187,0.0
14168847,10/02/2026,Curzon Ashton,Marine,Tony Weston,right-foot,regular,block,0.02749,0.0
14168847,10/02/2026,Curzon Ashton,Marine,Tony Weston,left-foot,regular,goal,0.1067,0.455
14168919,10/03/2026,Curzon Ashton,Oxford,Tony Weston,right-foot,throw-in-set-piece,goal,0.06945,0.1574
14168919,10/03/2026,Curzon Ashton,Oxford,Tony Weston,right-foot,regular,save,0.06322,0.07791
14168919,10/03/2026,Curzon Ashton,Oxford,Tony Weston,left-foot,throw-in-set-piece,miss,0.063,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Tony Weston,right-foot,throw-in-set-piece,miss,0.1247,0.0
14168919,10/03/2026,Curzon Ashton,Oxford,Tony Weston,right-foot,regular,miss,0.01072,0.0
14168929,14/03/2026,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,save,0.01484,0.007508
14168929,14/03/2026,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,save,0.1771,0.1226
14168952,28/03/2026,Curzon Ashton,Chester,Tony Weston,left-foot,regular,save,0.245,0.4105
14168689,25/11/2025,Curzon Ashton,Darlington,Tony Weston,right-foot,regular,goal,0.08891,0.5467
14168889,28/02/2026,Curzon Ashton,Fylde,Tony Weston,right-foot,regular,save,0.1191,0.1816
14168889,28/02/2026,Curzon Ashton,Fylde,Tony Weston,right-foot,regular,miss,0.03876,0.0
14168889,28/02/2026,Curzon Ashton,Fylde,Tony Weston,right-foot,regular,goal,0.09812,0.3705
14168641,01/11/2025,Curzon Ashton,Hereford,Tony Weston,right-foot,throw-in-set-piece,save,0.09298,0.1736
14168641,01/11/2025,Curzon Ashton,Hereford,Tony Weston,right-foot,regular,goal,0.3085,0.2466
14168802,24/01/2026,Curzon Ashton,Leamington,Tony Weston,head,set-piece,save,0.09281,0.1218
14168615,18/10/2025,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,save,0.03292,0.02707
14168615,18/10/2025,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,block,0.09088,0.0
14168615,18/10/2025,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,block,0.1865,0.0
14168615,18/10/2025,Curzon Ashton,Macclesfield,Tony Weston,right-foot,regular,miss,0.0701,0.0
14168619,11/10/2025,Curzon Ashton,Marine,Tony Weston,right-foot,regular,goal,0.05915,0.03042
14168619,11/10/2025,Curzon Ashton,Marine,Tony Weston,right-foot,regular,block,0.01483,0.0
14168619,11/10/2025,Curzon Ashton,Marine,Tony Weston,left-foot,regular,save,0.05187,0.01625
14168619,11/10/2025,Curzon Ashton,Marine,Tony Weston,left-foot,regular,block,0.00865,0.0
