Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168796,24/01/2026,Bedford,Alfreton,Tyrone Marsh,right-foot,free-kick,miss,0.0007903,0.0
14168796,24/01/2026,Bedford,Alfreton,Tyrone Marsh,right-foot,free-kick,goal,0.05612,0.331
14168488,09/08/2025,Bedford,Alfreton,Tyrone Marsh,right-foot,regular,goal,0.7677,0.8318
14168488,09/08/2025,Bedford,Alfreton,Tyrone Marsh,right-foot,free-kick,goal,0.1482,0.4866
14168496,19/08/2025,Bedford,Telford,Tyrone Marsh,right-foot,free-kick,miss,0.0005996,0.0
14168496,19/08/2025,Bedford,Telford,Tyrone Marsh,right-foot,free-kick,goal,0.03838,0.01997
14168496,19/08/2025,Bedford,Telford,Tyrone Marsh,right-foot,throw-in-set-piece,block,0.007402,0.0
14168527,25/08/2025,Bedford,South Shields,Tyrone Marsh,head,set-piece,miss,0.1076,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,head,regular,miss,0.06818,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,left-foot,regular,miss,0.04035,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,right-foot,regular,miss,0.02457,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,right-foot,regular,goal,0.2852,0.7284
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,right-foot,regular,block,0.01443,0.0
14168555,06/09/2025,Bedford,Curzon Ashton,Tyrone Marsh,right-foot,regular,miss,0.2811,0.0
14168568,20/09/2025,Bedford,Spennymoor,Tyrone Marsh,head,regular,miss,0.2702,0.0
14168568,20/09/2025,Bedford,Spennymoor,Tyrone Marsh,right-foot,regular,block,0.02649,0.0
14168568,20/09/2025,Bedford,Spennymoor,Tyrone Marsh,head,set-piece,miss,0.4109,0.0
14168568,20/09/2025,Bedford,Spennymoor,Tyrone Marsh,right-foot,regular,miss,0.01731,0.0
14168568,20/09/2025,Bedford,Spennymoor,Tyrone Marsh,right-foot,free-kick,save,0.04489,0.02008
14168611,21/10/2025,Bedford,Oxford,Tyrone Marsh,left-foot,throw-in-set-piece,save,0.09101,0.1244
14168611,21/10/2025,Bedford,Oxford,Tyrone Marsh,head,regular,miss,0.07332,0.0
14168611,21/10/2025,Bedford,Oxford,Tyrone Marsh,right-foot,regular,goal,0.4672,0.8316
14168611,21/10/2025,Bedford,Oxford,Tyrone Marsh,left-foot,regular,block,0.06975,0.0
14168658,08/11/2025,Bedford,Merthyr,Tyrone Marsh,right-foot,regular,goal,0.3122,0.6326
14168658,08/11/2025,Bedford,Merthyr,Tyrone Marsh,right-foot,free-kick,goal,0.215,0.7143
14837121,11/11/2025,Bedford,Buxton,Tyrone Marsh,head,regular,goal,0.5904,0.0
14837121,11/11/2025,Bedford,Buxton,Tyrone Marsh,right-foot,regular,goal,0.2847,0.6821
14837121,11/11/2025,Bedford,Buxton,Tyrone Marsh,right-foot,regular,save,0.05946,0.04228
14168699,29/11/2025,Bedford,Darlington,Tyrone Marsh,right-foot,regular,miss,0.213,0.0
14168699,29/11/2025,Bedford,Darlington,Tyrone Marsh,right-foot,regular,miss,0.04958,0.0
14168699,29/11/2025,Bedford,Darlington,Tyrone Marsh,head,throw-in-set-piece,miss,0.03109,0.0
14168699,29/11/2025,Bedford,Darlington,Tyrone Marsh,right-foot,free-kick,block,0.2236,0.0
15029190,16/12/2025,Bedford,Macclesfield,Tyrone Marsh,right-foot,regular,miss,0.03627,0.0
14168748,30/12/2025,Bedford,King's Lynn,Tyrone Marsh,right-foot,regular,block,0.007035,0.0
14168748,30/12/2025,Bedford,King's Lynn,Tyrone Marsh,head,throw-in-set-piece,miss,0.05877,0.0
14168748,30/12/2025,Bedford,King's Lynn,Tyrone Marsh,right-foot,regular,save,0.02859,0.02308
14168755,03/01/2026,Bedford,Fylde,Tyrone Marsh,right-foot,free-kick,miss,0.0007559,0.0
14168755,03/01/2026,Bedford,Fylde,Tyrone Marsh,right-foot,regular,block,0.09591,0.0
14168807,27/01/2026,Bedford,Kidderminster,Tyrone Marsh,right-foot,regular,miss,0.1143,0.0
14168807,27/01/2026,Bedford,Kidderminster,Tyrone Marsh,right-foot,throw-in-set-piece,save,0.06584,0.05852
14168831,07/02/2026,Bedford,Chester,Tyrone Marsh,right-foot,regular,save,0.05337,0.3708
14168831,07/02/2026,Bedford,Chester,Tyrone Marsh,right-foot,free-kick,block,0.002519,0.0
14168831,07/02/2026,Bedford,Chester,Tyrone Marsh,right-foot,regular,save,0.09439,0.1929
14168831,07/02/2026,Bedford,Chester,Tyrone Marsh,right-foot,throw-in-set-piece,save,0.04602,0.1836
14168866,21/02/2026,Bedford,Chorley,Tyrone Marsh,right-foot,regular,block,0.05842,0.0
14168866,21/02/2026,Bedford,Chorley,Tyrone Marsh,right-foot,free-kick,block,0.1842,0.0
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,goal,0.2065,0.2033
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,save,0.09445,0.1637
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,save,0.244,0.5162
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,save,0.0581,0.05641
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,head,corner,miss,0.03848,0.0
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,goal,0.5643,0.6244
14168879,24/02/2026,Bedford,Peterborough,Tyrone Marsh,right-foot,regular,save,0.05467,0.08483
14168916,10/03/2026,Bedford,Worksop,Tyrone Marsh,right-foot,throw-in-set-piece,save,0.1981,0.6391
14168916,10/03/2026,Bedford,Worksop,Tyrone Marsh,left-foot,regular,miss,0.0727,0.0
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,right-foot,regular,block,0.005917,0.0
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,right-foot,regular,miss,0.06118,0.0
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,right-foot,regular,block,0.02648,0.0
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,head,set-piece,block,0.01882,0.0
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,head,regular,save,0.2861,0.8358
14168928,14/03/2026,Bedford,Radcliffe,Tyrone Marsh,head,regular,miss,0.09105,0.0
14168939,21/03/2026,Bedford,Buxton,Tyrone Marsh,right-foot,free-kick,save,0.05195,0.1663
