Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168916,10/03/2026,Worksop,Bedford,Vaughan  Redford,right-foot,throw-in-set-piece,miss,0.006871,0.0
14168916,10/03/2026,Worksop,Bedford,Vaughan  Redford,right-foot,regular,block,0.02775,0.0
14168916,10/03/2026,Worksop,Bedford,Vaughan  Redford,right-foot,regular,block,0.002373,0.0
14168751,30/12/2025,Worksop,Buxton,Vaughan  Redford,right-foot,throw-in-set-piece,block,0.005017,0.0
14168656,04/11/2025,Worksop,Darlington,Vaughan  Redford,right-foot,regular,block,0.03737,0.0
14168590,11/10/2025,Worksop,Fylde,Vaughan  Redford,right-foot,corner,miss,0.001464,0.0
14168571,20/09/2025,Worksop,Hereford,Vaughan  Redford,left-foot,regular,block,0.06767,0.0
14168571,20/09/2025,Worksop,Hereford,Vaughan  Redford,head,throw-in-set-piece,miss,0.128,0.0
14168788,17/01/2026,Worksop,Kidderminster,Vaughan  Redford,right-foot,throw-in-set-piece,miss,0.005911,0.0
14168703,29/11/2025,Worksop,Leamington,Vaughan  Redford,right-foot,regular,goal,0.4616,0.5494
14168487,09/08/2025,Worksop,Macclesfield,Vaughan  Redford,left-foot,regular,block,0.07817,0.0
14168560,06/09/2025,Worksop,Merthyr,Vaughan  Redford,right-foot,regular,save,0.2827,0.2381
14168671,08/11/2025,Worksop,Oxford,Vaughan  Redford,right-foot,throw-in-set-piece,miss,0.004292,0.0
14168829,31/01/2026,Worksop,Scarborough,Vaughan  Redford,right-foot,regular,miss,0.009156,0.0
14168539,30/08/2025,Worksop,Chester,Vaughan  Redford,right-foot,corner,block,0.05359,0.0
14168612,18/10/2025,Worksop,Marine,Vaughan  Redford,left-foot,regular,block,0.06309,0.0
14168612,18/10/2025,Worksop,Marine,Vaughan  Redford,right-foot,set-piece,miss,0.01293,0.0
14168625,21/10/2025,Worksop,King's Lynn,Vaughan  Redford,right-foot,corner,block,0.005362,0.0
14168685,22/11/2025,Worksop,Curzon Ashton,Vaughan  Redford,right-foot,regular,miss,0.009072,0.0
14168685,22/11/2025,Worksop,Curzon Ashton,Vaughan  Redford,right-foot,regular,miss,0.06461,0.0
14168697,25/11/2025,Worksop,South Shields,Vaughan  Redford,left-foot,regular,block,0.07256,0.0
14168720,06/11/2025,Worksop,Chorley,Vaughan  Redford,right-foot,regular,save,0.09508,0.04737
14168781,10/01/2026,Worksop,Merthyr,Vaughan  Redford,right-foot,regular,save,0.09548,0.04941
14168781,10/01/2026,Worksop,Merthyr,Vaughan  Redford,right-foot,regular,miss,0.009903,0.0
14168781,10/01/2026,Worksop,Merthyr,Vaughan  Redford,head,corner,goal,0.07245,0.363
14168805,24/01/2026,Worksop,Macclesfield,Vaughan  Redford,right-foot,corner,miss,0.7606,0.0
14168817,27/01/2026,Worksop,Darlington,Vaughan  Redford,right-foot,regular,miss,0.09238,0.0
14168902,28/02/2026,Worksop,Leamington,Vaughan  Redford,head,regular,save,0.1291,0.1887
14168902,28/02/2026,Worksop,Leamington,Vaughan  Redford,left-foot,throw-in-set-piece,miss,0.1155,0.0
14168902,28/02/2026,Worksop,Leamington,Vaughan  Redford,head,throw-in-set-piece,block,0.178,0.0
14168948,21/03/2026,Worksop,Fylde,Vaughan  Redford,left-foot,regular,miss,0.4654,0.0
14168948,21/03/2026,Worksop,Fylde,Vaughan  Redford,right-foot,regular,save,0.1619,0.518
