Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,regular,goal,0.1908,0.7314
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,left-foot,regular,goal,0.223,0.3261
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,regular,miss,0.01652,0.0
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,right-foot,free-kick,save,0.03327,0.05175
14168470,16/08/2025,Darlington,Alfreton,Will Hatfield,left-foot,regular,block,0.002525,0.0
14168494,09/08/2025,Darlington,Chorley,Will Hatfield,right-foot,regular,goal,0.06701,0.02972
14168499,19/08/2025,Darlington,Fylde,Will Hatfield,right-foot,regular,block,0.03753,0.0
14168520,25/08/2025,Darlington,Telford,Will Hatfield,right-foot,free-kick,save,0.0368,0.06912
14168520,25/08/2025,Darlington,Telford,Will Hatfield,right-foot,regular,miss,0.04076,0.0
14168569,20/09/2025,Darlington,Chester,Will Hatfield,right-foot,free-kick,block,0.1053,0.0
14168569,20/09/2025,Darlington,Chester,Will Hatfield,left-foot,regular,miss,0.05635,0.0
14168569,20/09/2025,Darlington,Chester,Will Hatfield,right-foot,free-kick,block,0.001115,0.0
14168569,20/09/2025,Darlington,Chester,Will Hatfield,right-foot,regular,save,0.03727,0.1458
14168513,23/08/2025,Darlington,King's Lynn,Will Hatfield,right-foot,free-kick,save,0.03199,0.1637
14168513,23/08/2025,Darlington,King's Lynn,Will Hatfield,right-foot,free-kick,block,0.04927,0.0
14168538,30/08/2025,Darlington,Macclesfield,Will Hatfield,right-foot,free-kick,save,0.1188,0.0543
14168538,30/08/2025,Darlington,Macclesfield,Will Hatfield,right-foot,corner,block,0.005871,0.0
14168538,30/08/2025,Darlington,Macclesfield,Will Hatfield,right-foot,set-piece,block,0.004065,0.0
14168538,30/08/2025,Darlington,Macclesfield,Will Hatfield,right-foot,free-kick,block,0.3034,0.0
14168538,30/08/2025,Darlington,Macclesfield,Will Hatfield,right-foot,regular,miss,0.00262,0.0
