Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,left-foot,regular,block,0.1232,0.0
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,right-foot,set-piece,block,0.01777,0.0
14168470,16/08/2025,Darlington,Alfreton,Will McGowan,left-foot,regular,save,0.06055,0.05815
14168699,29/11/2025,Darlington,Bedford,Will McGowan,left-foot,regular,block,0.1239,0.0
14168699,29/11/2025,Darlington,Bedford,Will McGowan,left-foot,regular,block,0.1107,0.0
14168699,29/11/2025,Darlington,Bedford,Will McGowan,right-foot,regular,block,0.04417,0.0
14168699,29/11/2025,Darlington,Bedford,Will McGowan,left-foot,regular,miss,0.04051,0.0
14168699,29/11/2025,Darlington,Bedford,Will McGowan,left-foot,corner,goal,0.05673,0.09193
14168699,29/11/2025,Darlington,Bedford,Will McGowan,head,regular,save,0.1186,0.2396
14168580,04/10/2025,Darlington,Buxton,Will McGowan,left-foot,regular,block,0.007372,0.0
14168903,07/03/2026,Darlington,Chester,Will McGowan,left-foot,free-kick,block,0.006254,0.0
14168903,07/03/2026,Darlington,Chester,Will McGowan,left-foot,regular,block,0.01682,0.0
14168792,24/01/2026,Darlington,Chorley,Will McGowan,right-foot,regular,block,0.008483,0.0
14168792,24/01/2026,Darlington,Chorley,Will McGowan,left-foot,regular,goal,0.05132,0.04979
14168881,24/02/2026,Darlington,Curzon Ashton,Will McGowan,left-foot,regular,save,0.05627,0.6077
14168494,09/08/2025,Darlington,Chorley,Will McGowan,left-foot,regular,block,0.1573,0.0
14168494,09/08/2025,Darlington,Chorley,Will McGowan,left-foot,regular,block,0.006939,0.0
14168499,19/08/2025,Darlington,Fylde,Will McGowan,left-foot,regular,miss,0.1762,0.0
14168499,19/08/2025,Darlington,Fylde,Will McGowan,left-foot,regular,block,0.08187,0.0
14168520,25/08/2025,Darlington,Telford,Will McGowan,left-foot,regular,miss,0.1727,0.0
14168520,25/08/2025,Darlington,Telford,Will McGowan,left-foot,regular,save,0.09448,0.05485
14168564,06/09/2025,Darlington,Hereford,Will McGowan,left-foot,regular,block,0.03314,0.0
14168564,06/09/2025,Darlington,Hereford,Will McGowan,left-foot,free-kick,save,0.1795,0.3216
14168569,20/09/2025,Darlington,Chester,Will McGowan,left-foot,regular,block,0.1051,0.0
14168569,20/09/2025,Darlington,Chester,Will McGowan,left-foot,set-piece,miss,0.01272,0.0
