Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168521,25/08/2025,Buxton,Curzon Ashton,Will Trueman,head,corner,miss,0.06882,0.0
14168521,25/08/2025,Buxton,Curzon Ashton,Will Trueman,head,corner,save,0.08427,0.1613
14168521,25/08/2025,Buxton,Curzon Ashton,Will Trueman,left-foot,regular,block,0.002748,0.0
14168654,04/11/2025,Buxton,Southport,Will Trueman,right-foot,corner,block,0.04743,0.0
14168757,03/01/2026,Buxton,South Shields,Will Trueman,right-foot,regular,miss,0.09676,0.0
14168757,03/01/2026,Buxton,South Shields,Will Trueman,left-foot,regular,save,0.07096,0.1391
14168757,03/01/2026,Buxton,South Shields,Will Trueman,head,regular,miss,0.05089,0.0
14168820,31/10/2025,Buxton,Spennymoor,Will Trueman,right-foot,regular,save,0.4206,0.6821
14168878,24/02/2026,Buxton,King's Lynn,Will Trueman,right-foot,regular,miss,0.03359,0.0
14168953,28/03/2026,Buxton,Hereford,Will Trueman,right-foot,regular,miss,0.03108,0.0
14168739,26/12/2025,Buxton,Macclesfield,Will Trueman,right-foot,regular,miss,0.1378,0.0
14168897,28/02/2026,Buxton,Merthyr,Will Trueman,right-foot,regular,save,0.09167,0.08778
14168897,28/02/2026,Buxton,Merthyr,Will Trueman,right-foot,regular,miss,0.1237,0.0
14168798,24/01/2026,Buxton,Radcliffe,Will Trueman,right-foot,regular,block,0.01341,0.0
14168993,11/04/2026,Buxton,Scarborough,Will Trueman,right-foot,throw-in-set-piece,miss,0.01647,0.0
14169021,25/04/2026,Buxton,Leamington,Will Trueman,right-foot,regular,goal,0.101,0.1873
14169004,18/04/2026,Buxton,Curzon Ashton,Will Trueman,right-foot,regular,block,0.009897,0.0
