Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168870,21/02/2026,Scarborough,Hereford,William Thornton,head,corner,miss,0.1665,0.0
14168870,21/02/2026,Scarborough,Hereford,William Thornton,head,set-piece,miss,0.008634,0.0
14168942,21/03/2026,Scarborough,Leamington,William Thornton,head,corner,post,0.08953,0.0
14168942,21/03/2026,Scarborough,Leamington,William Thornton,head,corner,block,0.24,5.969e-05
14168730,20/12/2025,Scarborough,Peterborough,William Thornton,right-foot,set-piece,save,0.2185,0.2966
14168573,20/09/2025,Scarborough,Oxford,William Thornton,head,corner,goal,0.1942,0.565
14168573,20/09/2025,Scarborough,Oxford,William Thornton,right-foot,set-piece,block,0.3181,0.0
14168637,25/10/2025,Scarborough,Marine,William Thornton,head,throw-in-set-piece,miss,0.07897,0.0
14168637,25/10/2025,Scarborough,Marine,William Thornton,head,corner,save,0.09699,0.1542
14168695,25/11/2025,Scarborough,Alfreton,William Thornton,head,set-piece,save,0.1388,0.2548
14168854,10/02/2026,Scarborough,South Shields,William Thornton,head,corner,miss,0.01644,0.0
14168935,14/03/2026,Scarborough,Telford,William Thornton,left-foot,throw-in-set-piece,save,0.2064,0.3642
14168767,03/01/2026,Scarborough,Southport,William Thornton,right-foot,regular,block,0.2409,0.0
14168601,18/10/2025,Scarborough,Telford,William Thornton,head,corner,save,0.1421,0.6616
14169018,25/04/2026,Scarborough,Bedford,William Thornton,head,corner,miss,0.09371,0.0
14168993,11/04/2026,Scarborough,Buxton,William Thornton,head,corner,miss,0.3061,0.0
14168967,03/04/2026,Scarborough,Darlington,William Thornton,head,corner,goal,0.1172,0.1852
14168977,06/04/2026,Scarborough,Spennymoor,William Thornton,right-foot,set-piece,block,0.2421,0.0
14168997,18/04/2026,Scarborough,Merthyr,William Thornton,right-foot,throw-in-set-piece,block,0.009658,0.0
14168997,18/04/2026,Scarborough,Merthyr,William Thornton,head,throw-in-set-piece,save,0.04255,0.09956
