Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168783,17/01/2026,Buxton,Marine,Zak Gilsenan,right-foot,regular,goal,0.04796,0.315
14168820,31/10/2025,Buxton,Spennymoor,Zak Gilsenan,right-foot,throw-in-set-piece,save,0.07077,0.09348
14168820,31/10/2025,Buxton,Spennymoor,Zak Gilsenan,right-foot,regular,save,0.4439,0.3521
14168820,31/10/2025,Buxton,Spennymoor,Zak Gilsenan,left-foot,regular,save,0.5603,0.8192
14168820,31/10/2025,Buxton,Spennymoor,Zak Gilsenan,right-foot,regular,save,0.08449,0.05468
14168845,10/02/2026,Buxton,Peterborough,Zak Gilsenan,right-foot,regular,save,0.06329,0.02591
14168845,10/02/2026,Buxton,Peterborough,Zak Gilsenan,right-foot,regular,block,0.02304,0.0
14168845,10/02/2026,Buxton,Peterborough,Zak Gilsenan,right-foot,regular,block,0.00107,0.0
14168897,28/02/2026,Buxton,Merthyr,Zak Gilsenan,left-foot,regular,save,0.3002,0.7792
14168897,28/02/2026,Buxton,Merthyr,Zak Gilsenan,right-foot,regular,goal,0.2504,0.6922
14168897,28/02/2026,Buxton,Merthyr,Zak Gilsenan,right-foot,regular,block,0.002103,0.0
14168897,28/02/2026,Buxton,Merthyr,Zak Gilsenan,left-foot,regular,miss,0.4426,0.0
14168897,28/02/2026,Buxton,Merthyr,Zak Gilsenan,right-foot,regular,miss,0.09872,0.0
14168798,24/01/2026,Buxton,Radcliffe,Zak Gilsenan,right-foot,regular,miss,0.01186,0.0
14168798,24/01/2026,Buxton,Radcliffe,Zak Gilsenan,right-foot,regular,goal,0.1865,0.5604
14168798,24/01/2026,Buxton,Radcliffe,Zak Gilsenan,right-foot,regular,miss,0.06419,0.0
14168798,24/01/2026,Buxton,Radcliffe,Zak Gilsenan,right-foot,corner,block,0.1469,0.0
