Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168796,24/01/2026,Bedford,Alfreton,Zanda Siziba,right-foot,regular,block,0.07257,0.0
14168784,17/01/2026,Bedford,Southport,Zanda Siziba,head,throw-in-set-piece,goal,0.1457,0.5074
14168784,17/01/2026,Bedford,Southport,Zanda Siziba,right-foot,regular,save,0.1013,0.07642
14168784,17/01/2026,Bedford,Southport,Zanda Siziba,right-foot,corner,goal,0.2077,0.3452
14168784,17/01/2026,Bedford,Southport,Zanda Siziba,right-foot,regular,block,0.08248,0.0
15399954,03/02/2026,Bedford,Curzon Ashton,Zanda Siziba,right-foot,regular,block,0.009336,0.0
14168474,09/08/2025,Kidderminster,Scarborough,Zanda Siziba,left-foot,throw-in-set-piece,save,0.01554,0.0733
14168474,09/08/2025,Kidderminster,Scarborough,Zanda Siziba,right-foot,throw-in-set-piece,block,0.08742,0.0
14168474,09/08/2025,Kidderminster,Scarborough,Zanda Siziba,right-foot,regular,save,0.07602,0.09751
14168667,08/11/2025,Kidderminster,Darlington,Zanda Siziba,right-foot,regular,post,0.06645,1.574e-05
14168692,25/11/2025,Kidderminster,Marine,Zanda Siziba,right-foot,regular,miss,0.01304,0.0
14168684,22/11/2025,Kidderminster,Southport,Zanda Siziba,right-foot,throw-in-set-piece,save,0.07688,0.02176
14168684,22/11/2025,Kidderminster,Southport,Zanda Siziba,right-foot,corner,goal,0.1169,0.2457
14168483,16/08/2025,Kidderminster,Worksop,Zanda Siziba,right-foot,throw-in-set-piece,miss,0.03593,0.0
14168976,06/04/2026,Bedford,King's Lynn,Zanda Siziba,right-foot,corner,miss,0.00182,0.0
