Match ID,Date,Team 1,Team 2,Team 1 xP,Team 2 xP,Team 1 xG,Team 2 xG,Team 1 Win %,Team 2 Win %,Draw %
14168470,16/08/2025,Darlington,Alfreton,2.0998,0.63391,1.43051,0.52593,61.117,12.254,26.629
14168471,16/08/2025,Macclesfield,Oxford,1.66743,1.06773,1.60785,1.20971,46.753,26.763,26.484
14168472,16/08/2025,Marine,Buxton,1.56431,1.1327,1.50819,1.24957,42.044,27.657,30.299
14168473,09/08/2025,King's Lynn,Telford,1.80542,0.91331,1.84716,1.26754,50.805,21.068,28.127
14168474,09/08/2025,Kidderminster,Scarborough,2.2951,0.45727,1.39945,0.35436,68.249,6.988,24.763
14168475,19/08/2025,South Shields,Alfreton,2.9703,0.01542,3.38554,0.03401,98.534,0.038,1.428
14168476,09/08/2025,Radcliffe,Buxton,1.6262,0.83744,0.51937,0.17564,36.328,10.036,53.636
14168477,16/08/2025,Radcliffe,Spennymoor,2.80204,0.13483,4.10314,1.31244,91.297,2.39,6.313
14168478,16/08/2025,Telford,Curzon Ashton,1.16595,1.49052,0.75506,0.91376,27.414,38.233,34.353
14168479,16/08/2025,Hereford,King's Lynn,0.67541,2.10371,0.92476,1.91127,15.151,62.761,22.088
14168480,09/08/2025,Marine,South Shields,1.81618,0.9346,1.87724,1.24928,52.232,22.846,24.922
14168481,16/08/2025,Bedford,Southport,0.98701,1.75189,1.43494,1.91069,24.197,49.693,26.11
14168482,09/08/2025,Oxford,Fylde,2.39757,0.438,2.4933,1.09947,74.438,9.119,16.443
14168483,16/08/2025,Kidderminster,Worksop,1.63903,0.98497,0.84958,0.53555,42.101,20.299,37.6
14168484,19/08/2025,Chester,Curzon Ashton,2.21405,0.533,1.56157,0.60661,65.37,9.335,25.295
14168485,09/08/2025,Chester,Peterborough,1.9572,0.76716,1.43631,0.72827,56.052,16.384,27.564
14168487,09/08/2025,Worksop,Macclesfield,0.92214,1.86735,2.04108,2.79478,23.721,55.228,21.051
14168488,09/08/2025,Bedford,Alfreton,1.92421,0.80464,1.65797,0.99934,55.102,17.783,27.115
14168489,09/08/2025,Merthyr,Southport,0.41481,2.41605,0.69855,2.22925,8.189,74.897,16.914
14168490,16/08/2025,Merthyr,Peterborough,1.89639,0.84975,1.62815,0.92231,54.751,19.863,25.386
14168491,09/08/2025,Curzon Ashton,Leamington,2.6122,0.27691,3.19794,1.15826,83.377,5.534,11.089
14168492,19/08/2025,Hereford,Buxton,1.63543,1.04293,1.10979,0.79893,43.793,24.043,32.164
14168493,16/08/2025,Chester,Chorley,0.12335,2.77193,0.06525,2.08267,0.621,88.907,10.472
14168494,09/08/2025,Darlington,Chorley,1.27695,1.45398,1.36294,1.45024,33.596,39.497,26.907
14168495,09/08/2025,Hereford,Spennymoor,0.92313,1.71972,0.52004,0.94766,18.866,45.419,35.715
14168496,19/08/2025,Telford,Bedford,0.68813,2.03942,0.7116,1.41605,13.856,58.899,27.245
14168497,16/08/2025,South Shields,Leamington,2.47521,0.37059,2.41767,0.85572,77.367,7.213,15.42
14168498,19/08/2025,Chorley,Scarborough,0.7479,2.06484,2.38699,3.43768,18.688,62.586,18.726
14168499,19/08/2025,Fylde,Darlington,2.8614,0.09339,4.4351,1.23342,93.873,1.606,4.521
14168500,19/08/2025,Kidderminster,Oxford,1.63961,1.0379,1.08461,0.74053,43.904,23.847,32.249
14168501,19/08/2025,Merthyr,Marine,0.06021,2.90949,0.78941,4.39964,0.997,95.973,3.03
14168502,19/08/2025,Peterborough,Leamington,1.92593,0.70532,0.90408,0.31063,51.906,11.219,36.875
14168503,19/08/2025,King's Lynn,Spennymoor,2.6932,0.19786,2.67488,0.54919,86.142,2.964,10.894
14168504,19/08/2025,Radcliffe,Worksop,2.28781,0.52984,2.76626,1.45606,70.182,11.583,18.235
14168505,23/08/2025,Fylde,Kidderminster,1.55439,1.11294,1.0184,0.77665,40.724,26.009,33.267
14168506,23/08/2025,Chorley,Hereford,1.60034,1.18184,2.66572,2.36827,46.084,32.134,21.782
14168507,23/08/2025,Curzon Ashton,Merthyr,0.18436,2.68696,0.18553,1.80304,1.856,85.276,12.868
14168508,19/08/2025,Southport,Macclesfield,0.39607,2.41924,0.54251,1.93042,7.046,74.485,18.469
14168509,23/08/2025,Macclesfield,Alfreton,0.359,2.50415,0.94796,2.69644,7.405,78.91,13.685
14168510,23/08/2025,Bedford,Marine,2.27078,0.50678,1.66047,0.59474,68.278,9.478,22.244
14168511,23/08/2025,Buxton,Telford,1.31964,1.37019,1.06476,1.11854,33.649,35.334,31.017
14168512,23/08/2025,Radcliffe,Leamington,0.87533,1.91267,1.94521,2.77051,22.111,56.689,21.2
14168513,23/08/2025,Darlington,King's Lynn,0.1328,2.78765,0.28559,2.71171,1.775,90.27,7.955
14168514,23/08/2025,Chester,South Shields,0.41529,2.35743,0.50996,1.61308,6.267,71.005,22.728
14168515,23/08/2025,Peterborough,Scarborough,0.3751,2.48416,1.35307,3.04997,7.812,78.114,14.074
14168516,23/08/2025,Spennymoor,Oxford,2.20451,0.57593,1.79482,0.72423,66.165,11.879,21.956
14168517,25/08/2025,Alfreton,Marine,1.27757,1.35902,0.76687,0.80421,30.472,33.187,36.341
14168518,23/08/2025,Worksop,Southport,1.97118,0.75267,1.42993,0.71863,56.501,15.884,27.615
14168519,25/08/2025,Chester,Oxford,2.52354,0.30825,1.93409,0.38895,78.511,4.668,16.821
14168520,25/08/2025,Telford,Darlington,1.93592,0.82052,1.71403,0.99908,56.412,19.232,24.356
14168521,25/08/2025,Buxton,Curzon Ashton,2.1493,0.62527,1.81495,0.79327,64.129,13.328,22.543
14168522,25/08/2025,Chorley,King's Lynn,2.75325,0.13602,2.00161,0.08505,88.084,0.843,11.073
14168523,25/08/2025,Hereford,Radcliffe,0.0858,2.85222,0.16361,2.34885,0.794,93.008,6.198
14168524,25/08/2025,Kidderminster,Leamington,1.84399,0.84985,1.31966,0.71513,51.261,18.123,30.616
14168525,25/08/2025,Merthyr,Scarborough,1.20748,1.54648,1.65605,1.88573,32.048,43.348,24.604
14168526,25/08/2025,Worksop,Peterborough,1.54477,1.16422,1.49878,1.23179,41.792,29.107,29.101
14168527,25/08/2025,Bedford,South Shields,1.47354,1.164,1.13906,1.01811,37.036,26.718,36.246
14168528,25/08/2025,Spennymoor,Macclesfield,2.22264,0.38868,0.8325,0.0,61.132,0.0,38.868
14168529,25/08/2025,Southport,Fylde,1.17549,1.53444,1.71979,1.9543,29.514,41.479,29.007
14168530,30/08/2025,Telford,Spennymoor,2.62705,0.23623,2.04546,0.32316,83.011,3.317,13.672
14168531,30/08/2025,Alfreton,Hereford,0.79065,1.91019,0.64183,1.31003,16.383,53.701,29.916
14168532,30/08/2025,Bedford,Fylde,0.81662,1.87901,0.63677,1.23985,17.075,52.488,30.437
14168533,30/08/2025,King's Lynn,Merthyr,1.77047,1.01159,2.3289,1.72562,51.751,26.455,21.794
14168534,30/08/2025,Southport,Scarborough,1.21024,1.43077,1.15808,1.26738,28.375,35.726,35.899
14168535,30/08/2025,Oxford,Radcliffe,0.38699,2.44592,0.96555,2.50257,7.33,75.961,16.709
14168536,30/08/2025,South Shields,Buxton,2.43512,0.39539,2.49956,1.00632,75.521,7.53,16.949
14168537,30/08/2025,Curzon Ashton,Kidderminster,2.01321,0.72867,1.70211,0.8979,58.503,15.685,25.812
14168538,30/08/2025,Darlington,Macclesfield,0.95332,1.80142,1.4441,1.98677,23.602,51.872,24.526
14168539,30/08/2025,Chester,Worksop,0.48773,2.35127,1.13023,2.72731,10.891,73.009,16.1
14168540,30/08/2025,Chorley,Leamington,1.14597,1.60944,1.5452,1.84954,30.046,45.495,24.459
14168541,30/08/2025,Marine,Peterborough,1.03984,1.67374,0.94719,1.33845,25.114,46.244,28.642
14168542,02/09/2025,Fylde,Chester,1.66591,1.02166,1.13547,0.7824,45.116,23.641,31.243
14168543,02/09/2025,Curzon Ashton,Chorley,1.17322,1.5505,1.26082,1.50777,29.898,42.474,27.628
14168544,02/09/2025,King's Lynn,Kidderminster,0.62069,2.09717,0.48398,1.22222,11.285,60.501,28.214
14168545,02/09/2025,Hereford,Bedford,2.21731,0.59719,2.32827,1.05969,67.727,13.723,18.55
14168546,02/09/2025,Telford,Peterborough,2.46826,0.37342,2.75479,1.12651,76.998,7.17,15.832
14168547,02/09/2025,Southport,Leamington,0.79974,1.86732,0.48023,1.03702,15.56,51.146,33.294
14168548,02/09/2025,Merthyr,Macclesfield,2.43423,0.38232,1.85421,0.49862,75.026,6.629,18.345
14168549,02/09/2025,Darlington,Marine,2.25254,0.55409,2.07661,0.8697,68.639,12.024,19.337
14168550,02/09/2025,Oxford,Alfreton,2.05628,0.71531,2.03857,1.13279,60.929,16.23,22.841
14168551,02/09/2025,South Shields,Radcliffe,1.20921,1.55847,2.22225,2.47736,32.563,44.205,23.232
14168552,02/09/2025,Scarborough,Buxton,1.70066,0.97013,1.17018,0.75765,45.715,21.364,32.921
14168553,02/09/2025,Spennymoor,Worksop,0.41638,2.44348,1.46244,3.17029,9.208,76.778,14.014
14168554,06/09/2025,King's Lynn,Alfreton,1.02029,1.66385,1.07698,1.4469,23.481,44.933,31.586
14168555,06/09/2025,Curzon Ashton,Bedford,1.34362,1.44751,2.54515,2.66513,37.825,41.288,20.887
14168556,06/09/2025,Chester,Scarborough,1.84545,0.88362,1.59373,0.94401,52.484,20.423,27.093
14168557,06/09/2025,Oxford,Buxton,1.31386,1.36741,1.32319,1.34549,33.171,34.956,31.873
14168558,06/09/2025,Telford,Chorley,2.59521,0.29811,3.78764,1.5954,82.951,6.381,10.668
14168559,06/09/2025,Fylde,Peterborough,2.79801,0.12159,2.35909,0.2582,90.587,1.373,8.04
14168560,06/09/2025,Merthyr,Worksop,2.36395,0.48421,3.03957,1.48308,73.737,11.079,15.184
14168561,06/09/2025,Macclesfield,Kidderminster,1.74816,0.94161,1.1718,0.74232,47.931,21.046,31.023
14168562,06/09/2025,Radcliffe,Marine,1.2697,1.45483,1.35371,1.48533,33.141,39.312,27.547
14168563,06/09/2025,South Shields,Southport,2.23603,0.56473,2.4547,1.27204,67.893,12.183,19.924
14168564,06/09/2025,Hereford,Darlington,0.35321,2.49494,0.82909,2.44392,6.712,78.103,15.185
14168565,06/08/2025,Spennymoor,Leamington,2.27514,0.51492,2.30557,1.13878,68.84,10.166,20.994
14168567,20/09/2025,Telford,Alfreton,1.41773,1.31729,1.96765,1.84091,38.425,35.077,26.498
14168568,20/09/2025,Spennymoor,Bedford,2.18412,0.63144,2.74214,1.52846,66.656,14.9,18.444
14168569,20/09/2025,Darlington,Chester,2.10922,0.65416,1.68915,0.73297,62.42,13.918,23.662
14168570,20/09/2025,Chorley,Macclesfield,2.03712,0.72873,2.29384,1.47487,60.099,16.486,23.415
14168571,20/09/2025,Worksop,Hereford,0.76619,2.05034,1.62463,2.70496,19.424,62.229,18.347
14168572,20/09/2025,Curzon Ashton,South Shields,0.94402,1.81678,1.5922,2.22012,23.494,52.586,23.92
14168573,20/09/2025,Scarborough,Oxford,2.23894,0.4864,1.321,0.30917,65.476,7.058,27.466
14168574,20/09/2025,Merthyr,Radcliffe,0.01888,2.96818,0.29956,4.1175,0.198,98.508,1.294
14168575,20/09/2025,Buxton,Kidderminster,1.22367,1.47393,1.14651,1.28302,30.709,39.051,30.24
14168576,04/10/2025,Telford,Fylde,0.80936,1.9127,0.73583,1.4167,17.714,54.492,27.794
