Match ID,Date,Team,xP
14168617,21/10/2025,Chester,2.59581
14168831,07/02/2026,Chester,2.06043
14168662,08/11/2025,Chester,1.48901
14168485,09/08/2025,Chester,1.96596
14168484,19/08/2025,Chester,2.21232
14168519,25/08/2025,Chester,2.5216
14168556,06/09/2025,Chester,1.84864
14168578,04/10/2025,Chester,2.37445
14168603,18/10/2025,Chester,1.36131
14168626,25/10/2025,Chester,2.66062
14168652,04/11/2025,Chester,1.72289
14168677,22/11/2025,Chester,2.15339
14168687,25/11/2025,Chester,1.35583
14168726,20/12/2025,Chester,2.35311
14168747,30/12/2025,Chester,1.78806
14168759,03/01/2026,Chester,2.53934
14168785,17/01/2026,Chester,1.99633
14168822,31/01/2026,Chester,2.21203
14168844,10/02/2026,Chester,1.42151
14168856,14/02/2026,Chester,2.12413
14168893,28/02/2026,Chester,1.62909
14168903,07/03/2026,Chester,2.75243
14168940,21/03/2026,Chester,0.79232
14168493,16/08/2025,Chester,0.12208
14168952,28/03/2026,Chester,1.44434
14168569,20/09/2025,Chester,0.65333
14168542,02/09/2025,Chester,1.02967
14168882,24/02/2026,Chester,1.30902
14168933,14/03/2026,Chester,0.83153
14168714,06/12/2025,Chester,1.09449
14168873,21/02/2026,Chester,2.64934
14168810,27/01/2026,Chester,0.64048
14168801,24/01/2026,Chester,0.18555
14972548,02/12/2025,Chester,1.36276
14168779,10/01/2026,Chester,2.04335
14877776,11/11/2025,Chester,1.81156
14168514,23/08/2025,Chester,0.41761
15212553,20/01/2026,Chester,1.6807
14168735,26/12/2025,Chester,1.25881
14168539,30/08/2025,Chester,0.48875
