Match ID,Date,Team,xP
14168865,21/02/2026,Merthyr,0.52073
14168658,08/11/2025,Merthyr,1.14797
14168700,29/11/2025,Merthyr,1.45676
14168578,04/10/2025,Merthyr,0.86723
14168507,23/08/2025,Merthyr,2.68792
14168823,31/01/2026,Merthyr,0.41177
14168713,06/12/2025,Merthyr,1.66761
14168843,10/02/2026,Merthyr,1.13847
14168533,30/08/2025,Merthyr,1.01223
14168886,24/02/2026,Merthyr,0.82505
14168548,02/09/2025,Merthyr,2.43053
14168489,09/08/2025,Merthyr,0.41182
14168501,19/08/2025,Merthyr,0.06037
14168525,25/08/2025,Merthyr,1.21154
14168560,06/09/2025,Merthyr,1.93079
14168574,20/09/2025,Merthyr,0.01857
14168620,21/10/2025,Merthyr,0.79419
14168640,01/11/2025,Merthyr,1.6578
14837162,11/11/2025,Merthyr,2.09477
14168681,22/11/2025,Merthyr,2.51433
14168693,25/11/2025,Merthyr,2.58406
14168729,20/12/2025,Merthyr,2.01969
14168754,30/12/2025,Merthyr,1.37639
14168765,03/01/2026,Merthyr,2.045
14168789,17/01/2026,Merthyr,1.63748
14168811,27/01/2026,Merthyr,1.16785
14168836,07/02/2026,Merthyr,0.29103
14168861,14/02/2026,Merthyr,2.97787
14168897,28/02/2026,Merthyr,0.5203
14168934,14/03/2026,Merthyr,1.03664
14168490,16/08/2025,Merthyr,1.90484
14168906,07/03/2026,Merthyr,2.4514
14168804,24/01/2026,Merthyr,0.21544
14168947,21/03/2026,Merthyr,1.40635
14168614,18/10/2025,Merthyr,1.03579
14168781,10/01/2026,Merthyr,2.18326
14168983,06/04/2026,Merthyr,1.05331
15691191,14/04/2026,Merthyr,2.59894
14168971,03/04/2026,Merthyr,1.94292
14168990,11/04/2026,Merthyr,1.26778
14168997,18/04/2026,Merthyr,0.62036
