Team,Total xG,Total Post Shot xG,Team Total Impact on Post Shot xG
Darlington,70.1735362,65.1098386,-5.063697599999998
Alfreton,42.130322199999995,37.908550000000005,-4.2217721999999895
South Shields,67.9368228,68.179404,0.2425812000000036
Marine,50.4828882,54.027746210000004,3.5448580100000058
King's Lynn,52.99762479999999,49.12919840000001,-3.868426399999983
Telford,63.092051299999994,63.44518205999999,0.3531307599999991
Chester,63.55041179999999,54.284892150000005,-9.265519649999987
Kidderminster,52.6381135,49.48211478,-3.1559987199999995
Fylde,61.585321300000004,67.98473459,6.399413289999998
Spennymoor,59.5493078,61.10316829,1.5538604899999982
Southport,49.6025171,51.697241,2.094723899999998
Leamington,39.8420584,37.46302006,-2.379038340000001
Bedford,50.0381001,51.792111000000006,1.7540109000000044
Merthyr,66.2767304,64.8559868,-1.4207436000000087
Scarborough,56.4682779,51.3166796,-5.151598299999996
Radcliffe,70.2264507,71.78221938,1.55576868
Peterborough,50.7278833,48.838606,-1.8892773000000034
Hereford,53.786804599999996,52.01196836,-1.774836239999999
Macclesfield,62.0467793,61.03645039999999,-1.0103289000000046
Chorley,60.986005399999996,59.4165621,-1.569443299999996
Curzon Ashton,53.5755798,48.7172328,-4.858347000000002
Oxford,44.0263591,48.234046000000006,4.207686900000006
Buxton,53.1681265,57.186530579999996,4.018404079999996
Worksop,54.0864811,55.77665064,1.6901695399999994
