Team,Expected Points Per Game,Expected Goals Per Game,Expected Win %,Expected Loss %,Expected Draw %
Alfreton,1.0569793264248706,1.0714598704663212,27.038800518134714,48.37966839378238,24.581531088082905
Bedford,1.2098657746478874,1.2952671361502348,32.55806103286385,44.12954460093897,23.312394366197182
Buxton,1.3694629442970825,1.3224988063660477,36.96742175066312,36.98854907161803,26.044029177718834
Chester,1.6092593220338982,1.5210421791767552,45.99429055690073,31.06264891041162,22.943060532687653
Chorley,1.3897751715039577,1.5913437467018472,38.943039577836416,38.90856200527704,22.14839841688654
Curzon Ashton,1.2633659541984734,1.4858843511450381,34.69746564885496,43.058335877862596,22.24419847328244
Darlington,1.5101929925187032,1.655202019950125,43.72620947630922,36.43311970074813,19.84067082294264
Fylde,1.6455682320441989,1.6723129005524862,47.44368232044198,30.330541436464085,22.22577624309392
Hereford,1.2486958550724638,1.4562111594202898,34.02904057971015,43.18849565217391,22.782463768115946
Kidderminster,1.715328286516854,1.3394140168539326,48.43315168539325,25.33347471910112,26.233373595505615
King's Lynn,1.5738308847184985,1.4881240750670246,44.9159892761394,32.44889008042896,22.635120643431634
Leamington,0.7665311027568923,0.9783673433583959,18.185273182957395,59.71743609022557,22.097290726817047
Macclesfield,1.5054387172774866,1.4864357329842934,42.068769633507856,33.59366753926701,24.33756282722513
Marine,1.4210255200000004,1.3816637333333335,39.19329866666667,36.28404533333334,24.522655999999998
Merthyr,1.3784458038147138,1.689964277929155,39.885400544959126,41.92622070844686,18.188378746594005
Oxford,1.1144676081424936,1.1548625699745547,29.26752671755725,47.08829262086514,23.64418066157761
Peterborough,1.1728648387096774,1.291601141439206,31.876702233250626,46.4669205955335,21.656377171215883
Radcliffe,1.8371873469387756,2.088989413265306,54.324163265306126,24.929591836734698,20.746244897959183
Scarborough,1.455796402714932,1.4126668325791856,39.741334841628955,33.903029411764706,26.355635746606332
Southport,1.0591049514563107,1.1504672087378642,27.404167475728155,48.89783980582525,23.697992718446603
South Shields,1.7731939417989417,1.8405357936507936,51.84842857142857,26.377462962962966,21.774108465608464
Spennymoor,1.3921036972704717,1.44665111662531,39.470230769230774,39.73009181141439,20.79967741935484
Telford,1.5943040414507774,1.668516476683938,45.57484715025907,31.719290155440415,22.705862694300517
Worksop,1.2755603836317135,1.5567986189258314,34.70767519181586,41.859312020460365,23.433012787723786
