Match ID,Date,Home Team,Away Team,Home Team xP,Away Team xP,Home Team xG,Away Team xG,Home Team %,Away Team %,Draw %
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168567,20/09/2025,Alfreton,Telford,1.33131,1.40445,1.84722,1.96676,35.569,38.007,26.424
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168567,20/09/2025,Alfreton,Telford,1.33131,1.40445,1.84722,1.96676,35.569,38.007,26.424
14168617,21/10/2025,Alfreton,Chester,0.25098,2.59512,0.3845,1.86173,3.236,81.374,15.39
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168567,20/09/2025,Alfreton,Telford,1.33131,1.40445,1.84722,1.96676,35.569,38.007,26.424
14168617,21/10/2025,Alfreton,Chester,0.25098,2.59512,0.3845,1.86173,3.236,81.374,15.39
14168638,01/11/2025,Alfreton,Kidderminster,0.18913,2.69638,0.27008,2.24579,2.488,86.063,11.449
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168567,20/09/2025,Alfreton,Telford,1.33131,1.40445,1.84722,1.96676,35.569,38.007,26.424
14168617,21/10/2025,Alfreton,Chester,0.25098,2.59512,0.3845,1.86173,3.236,81.374,15.39
14168638,01/11/2025,Alfreton,Kidderminster,0.18913,2.69638,0.27008,2.24579,2.488,86.063,11.449
14168664,08/11/2025,Alfreton,Fylde,0.39584,2.42987,0.63137,2.06107,7.385,75.186,17.429
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
14168475,19/08/2025,Alfreton,South Shields,0.01581,2.96994,0.03407,3.38246,0.052,98.523,1.425
14168517,25/08/2025,Alfreton,Marine,1.27922,1.35587,0.76162,0.79981,30.477,33.032,36.491
14168554,06/09/2025,Alfreton,King's Lynn,1.65994,1.02409,1.43961,1.07718,44.799,23.604,31.597
14168567,20/09/2025,Alfreton,Telford,1.33131,1.40445,1.84722,1.96676,35.569,38.007,26.424
14168617,21/10/2025,Alfreton,Chester,0.25098,2.59512,0.3845,1.86173,3.236,81.374,15.39
14168638,01/11/2025,Alfreton,Kidderminster,0.18913,2.69638,0.27008,2.24579,2.488,86.063,11.449
14168664,08/11/2025,Alfreton,Fylde,0.39584,2.42987,0.63137,2.06107,7.385,75.186,17.429
14877540,11/11/2025,Alfreton,Spennymoor,1.55449,1.13623,1.20944,0.97622,41.507,27.565,30.928
14168470,16/08/2025,Alfreton,Darlington,0.63694,2.09881,0.52607,1.42971,12.423,61.152,26.425
