Player Name,Player Team,Total xG,Total Post Shot xG,Player Total Impact on Post Shot xG
Aidan Rutledge,Darlington,25.2224808,21.4225398,-3.7999410000000005
Cedric Main,Darlington,53.307501,48.886379999999996,-4.4211210000000065
Will Hatfield,Darlington,5.491143,8.043420000000001,2.552277000000001
Gerry McDonagh,Alfreton,4.496349,2.085,-2.4113490000000004
Siyabonga Ligendza,Alfreton,13.130844,16.274883,3.1440389999999994
Ben Hedley,Darlington,1.9338921,4.4865,2.5526079000000004
Jack Maskell,Darlington,38.296350000000004,43.04343,4.747079999999997
Will McGowan,Darlington,13.8761604,10.767870000000002,-3.108290399999998
Owen German,Alfreton,4.050607900000001,2.4496700000000002,-1.6009379000000008
Elliot Forbes,Darlington,2.8462110000000003,3.8589599999999997,1.0127489999999995
Scott Barrow,Darlington,4.482498,3.479034,-1.0034639999999997
George Cantrill,Alfreton,4.515477,4.7763,0.26082300000000025
Paul Blackett,South Shields,72.4469147,66.84033,-5.606584699999999
Cedwyn Scott,South Shields,33.466744999999996,38.08188,4.615135000000002
Rhys Walsh,South Shields,1.0369000000000002,0.28533,-0.7515700000000002
Robbie Tinkler,South Shields,0.48173900000000003,0.04611,-0.43562900000000004
Daniel Ward,South Shields,16.39554,16.92819,0.5326500000000003
Dillon Morse,South Shields,6.8925,9.0318,2.1393000000000004
Caden Kelly,South Shields,2.7501318,7.5446,4.7944682
Will Jenkins,South Shields,11.9176503,16.47449,4.556839699999999
Adam Lund,Alfreton,5.903714000000001,3.90486,-1.9988540000000006
Adam Anson,Alfreton,5.46645,6.83725,1.3708
Bailey Sloane,Marine,0.241604,0.10076,-0.14084400000000002
AJ Warburton,Marine,1.85278,0.19365,-1.6591300000000002
Terell Pennant,Alfreton,0.33067,0.1228,-0.20787
Finlay Sinclair-Smith,Marine,46.2153175,46.766444469999996,0.5511269699999986
Billy Fewster,Alfreton,9.040949000000001,10.0723,1.031350999999999
Ashley Hunter,Marine,5.612154,7.745699999999999,2.133545999999999
Nathan Newall,Alfreton,0.7998939999999999,0.20283,-0.5970639999999998
Max Hunt,Alfreton,10.406607,8.74182,-1.6647869999999987
Matthew McDonald,Marine,10.161764000000002,14.711279999999999,4.549515999999997
Leigh Whelan,Marine,0.27888,0.03996,-0.23892000000000002
Tai Fleming,King's Lynn,4.48119,4.7586,0.2774100000000006
Reece Hall-Johnson,King's Lynn,8.932286999999999,13.07684,4.144553000000002
Joe Dodoo,Alfreton,1.8602762999999998,0.0,-1.8602762999999998
David Solademi,Alfreton,1.0204,0.0,-1.0204
Ben Beresford,Alfreton,14.389339999999999,12.64842,-1.7409199999999991
Michael Gyasi,King's Lynn,14.985449,17.049750000000003,2.064301000000004
Morgan Williams,King's Lynn,9.794617299999999,13.020780000000002,3.2261627000000033
Ryan Barrett,Alfreton,0.017308,0.0,-0.017308
Matthew Stenson,Telford,44.5717008,43.98147,-0.5902308000000005
Alex Fletcher,Telford,3.9253350000000005,2.7161999999999997,-1.2091350000000007
Remi Walker,Telford,29.441022,40.447346100000004,11.006324100000004
Oliver Cawthorne,Telford,9.450600000000001,3.15864,-6.291960000000001
Dylan  Allen-Hadley,Telford,20.736927,21.942861,1.2059339999999992
Dyer Ammar,Telford,0.020742,0.0,-0.020742
Jordan Cranston,Telford,2.6309229,1.03656,-1.5943629
Rhys Hilton,Telford,7.644636,5.4466920000000005,-2.1979439999999997
Austin Samuels,Alfreton,3.12465,3.0582300000000004,-0.06641999999999948
Orrin  Pendley,Telford,3.05574,1.6359,-1.4198400000000002
Jediah Abbey,Alfreton,4.893417,2.5366799999999996,-2.3567370000000007
Lewis Salmon,Alfreton,15.375906,14.733659999999999,-0.6422460000000019
Offrande Zanzala,Chester,18.539319,18.210789,-0.32853000000000065
Iwan Murray,Chester,6.4162979999999985,2.4830999999999994,-3.933197999999999
Tom Peers,Chester,14.174787,7.97001,-6.204777
Jack Bainbridge,Chester,14.252544,12.205499999999999,-2.0470440000000014
Patrick Jones,Chester,18.679206,16.58193645,-2.09726955
Dylan Mottley Henry,Chester,33.833724000000004,31.72941,-2.1043140000000022
Harry Perritt,Alfreton,2.0182320000000002,1.51008,-0.5081520000000002
Ryley Reynolds,Kidderminster,14.9615013,14.89359,-0.06791130000000045
Emeka Obi,Kidderminster,19.347444000000003,15.92979,-3.4176540000000024
Dan Mooney,Kidderminster,5.104425,4.59061116,-0.5138138400000001
Joe Foulkes,Kidderminster,5.259678,3.7507589999999995,-1.5089190000000006
Tobi Sho-Silva,Kidderminster,6.868968,5.16294,-1.7060279999999999
Amari Morgan-Smith,Kidderminster,17.539082999999998,13.49154,-4.0475429999999974
Luke Spokes,Kidderminster,1.6732395,4.905329999999999,3.232090499999999
